page,eng,twi
3,aberration,ewiem abɔdeɛ gyinabea nsesaeɛ tiawa (mfonintwa a enni mu)
3,ability,tumi
3,absence,enni hɔ
3,absolute scale,pɛpɛɛpe nsanie/nsenia
3,absolute zero,adeɛ a adwo koraa ayɛ nwunu (susudua so onwunu a ɛba fam sen biara)
3,absorption,ahoɔdenneɛ kyeɛ (adetwe)
3,absorption spectrum,ahoɔdenneɛ so teɛ (adetwe ahorow)
3,accelerate,enkɔ anim ntɛm (tu mmirika)
3,acceleration,ntɛm animkorɔ (mmirikatu)
3,acceleration of gravity,adeɛ bi ntɛm asehweɛ
3,accentuate,abam rebuo (dua si)
3,accompany,ɛdi akyire (ɛka hɔ)
3,accomplish,wie
3,accordance,penee/nhyehyɛeɛ pɛpɛɛpe (adwenekoro yɛ)
3,account,hwehwɛ mu (bu akontaa)
3,accumulate,boa ano
3,accuracy,pɛpɛɛpɛye
3,accurate,pɛpɛɛpɛ
3,achieve,tumi ayɛ
3,acoustics,ɛnne nnyegyeeɛ teɛ ho adesua/nhwehwɛmu
3,action,nsesaeɛ a ɛnam anaa ennam ɔhyɛ so (adeyɛ)
3,activity,ahoɔdenneɛ a ɛda so di adwuma (dwumadi)
3,actual,adeɛ a ɛwɔ ho ankasa
3,addition,nneɛma nkekabom adane baako (nkabom)
3,adhesive,adeɛ a ɛka nneɛma fam ho
3,adjacent,ɛbɔ hyeɛ (wɔ nkyɛn)
3,advantage,mfasodeɛ/mfaso
3,aerodynamics,mframa ahokeka ne abɔdeɛ a ɛkeka ne ho ho adesua
3,air pollution,mframaseɛ
3,air resistance,mframa anosie
3,air track,ewiem kwan
3,aircraft,ewiemhyɛn
3,airfoil,ewiemhyɛn ntaban
3,airplane,ewiemhyɛn
3,alcohol,mmoronsa
3,algebra,nkontabuo a ɛde atwerɛdeɛ ne nkontabudeɛ di afra
3,allow,Pene/ma kwan
3,alternating current generator,afidie a ɛtoto anyinam ahoɔden dwumadie
3,altimeter,afidie a yɛde susu tebea nsesaeɛ bere a biribi rekɔ ewiem
3,aluminum,alominiɔm
3,amber,adeɛ a yɛde sesa biribi ahosuo
3,ammeter,afidie a yɛde susu anyinam ahoɔden
3,ampere,susudua a yɛde susu anyinam ahoɔden
3,amplitude,susudua a yɛde susu ɛnne mpoeɛ/kwantu
4,analogy,nsɛdie ntotoho
4,analysis,mpɛnsɛmpɛnsɛmu
4,analyze,pɛnsɛpɛnsɛ mu
4,antinodal line,mpopoɛ susudua beaɛ nsensan a ɛkyerɛ biribi mpopoɛ soroko pa ara
4,anemoscope,afidie a yɛde hwɛ mframa mmɔɛ
4,aneroid,nsunsuansoɔ a abɔntene mframa nya wɔ adaka bi so (nea nsu nnim)
4,aneroid barometer,afidie a yɛde susu mframa ahoɔden a nsu nnka ho
4,angle,beaɛ a nsensan mmienu hyia
4,ant.,adeɛ a yɛde kye redio ne TV kasa ne nnyigyei
4,antenna,adeɛ a yɛde kye redio ne TV kasa ne nnyigyei
4,antinode,mpopoɛ susudua beaɛ a ɛkyerɛ biribi mpopoɛ soroko pa ara
4,antiparticle,biribi a ne su ne foforɔ sɛ nanso n'ahoɔdenneɛ ne no bɔ abira
4,apparent,adeɛ a yetumi hunu (ɛda adi pefee)
4,appendix,honam akwaa a anyini aboro so (nkekaho)
4,applied force,ahoɔdenneɛ a ɛredi dwuma ankasa
4,approach,twe pini (ɔkwan)
4,aquarium,nsutadeɛ adaka a ɛsi fie
4,arbitrary,ɛntotonsie/nea akwankyerɛ pɔtee nnim
4,arc,kanko fa
4,archer,agyantofoɔ
4,Archimedes' principle,Archimedes mmara
4,architect,adansie ho nhyehyɛeɛ totofoɔ/mfoninyɛfo
4,area,beaɛ
4,argon,ogyaframa a yɛde sosɔ adeɛ ne deɛ bɔɔbo de ma
4,Aristotle,Aristotle
4,armature,nnadeɛ nhoma a yɛabobɔ wɔ mfidie mu a anyinam ahoɔden fa mu
4,arrow,peaw
4,arrangement,nhyehyɛeɛ
4,artificial,adeɛ a nnipa ahwɛ abɔdeɛ so ayɛ
4,artificial radioactivity,adeɛ a nnipa ahwɛ abɔdeɛ so ayɛ a sɛ wopae mu ahoɔdenneɛ firi mu pue
4,artillery,akodeɛ biara a yɛto
4,aspect,ne fa baabi
4,assemble,hyehyɛ
4,assume,redwene sɛ
4,assumption,berɛ a woredwene sɛ
4,astronomer,"onipa a ɔwɔ nimdeɛ wɔ ewiem abodeɛ bi te sɛ owia, nsoromma ho"
4,astronomical,"nneɛma a ɛfa ewiem abɔdeɛ bi te sɛ owia, nsoromma ho"
4,astronomy,"nimdeɛ a ɛfa ewiem abɔdeɛ bi te sɛ owia, nsoromama ho"
4,athlete,mmirikatufoɔ
4,atmosphere,ewiem ntutuo (mframa mu)
4,atmospheric,nneɛma a ɛfa ewiem ntutuo ho
4,atom,adeɛ biara ne nkyekyɛmu fa ketewa koraa a wontumi nkyɛ mu bio
5,atomic energy,ahoɔdenneɛ a yɛnya firi adeɛ biara ne nkyekyɛmu fa ketewa koraa a wontumi nkyɛ mu bio mu
5,atomic mass unit,susudua a yɛde susu adeɛ biara ne nkyekyɛmu fa ketewa koraa a wontumi nkyɛ mu bio mu
5,atomic number,nɔma soronko a ɛkyerɛ proton ahodoɔ a ɛwɔ nuklɔso mu
5,attach,de tare ho
5,attain,duru botaeɛ ho
5,attract,retwe adwene
5,attraction,sɛ biribi retwe adwene
5,attractive,biribi a ɛtwe adwene
5,audience,sɛ yɛrete biribi (atiefo)
5,auditorium,beaeɛ a nnipa tena tie/hwɛ biribi
5,auditory,biribi a ɛfa otie ho
5,aurora,ewiem kanea a edi kan ba
5,aurora borealis,ewiem kanea a edi kan wɔ atifi fam
5,automobile,kwan so hyɛn
5,average,nɔma baako a yɛtumi de gyina ho ma nɔma ahodoɔ pii
5,average speed,mmirika a yɛ gye tom
5,average velocity,mmirika a yɛ gye tom wɔ berɛ pɔtee bi
5,axis,nsensaneɛ a yɛtumi de nɔma hyehyɛ so
5,axle,dadeɛ a ɛsoso kɔba mu
5,back - EMF,akyire- EMF
5,baffle,retwa ahoɔdenneɛ ntoamu tia/yɛ nwonwa
5,balance,afidie a yɛde susu biribi mu duru
5,barometer,afidie a yɛde susu mframa ahoɔden
5,barrel,ankorɛ/gerawa
5,barrier,akwansideɛ
5,baryon,barion
5,base level,fapem beaeɛ
5,basic equation,ahyɛaseɛ nkontabuo ahyɛnsodeɛ
5,basin,asase ne fa baabi a ɛremem
5,basis,biribi nnyinaso
5,batter,nsu a emu api
5,battery,batere
5,"bead (ex., optic bead)",afidie a yɛhwɛ mu de gyene yɛn ani
5,beaker,ahwehwɛ tɛmɛ
5,beam balance,Nsɛnia a yɛde susu nneɛma a ɛmu yɛ duru pa ara
5,beat,sɛ nnyegyeeɛ di ahyia a ɛmu baako biara bɔ
5,behave,redane suban adi wɔ kwan bi so
5,behind,akyire
5,bend,koa
5,beneath,aseɛ
5,bent,adeɛ a yɛakoa no
5,Bernoulli's principle,Bernoulli mmara
5,beyond,ɛboro so
6,billiard,ɛpono so bɔɔlobɔ agorɔ
6,bimetallic,adeɛ a ɛfiri nnadeɛ ahorow abien mu
6,bimetallic strip,adeɛ a yɛde yi adeɛ a ɛfiri nnadeɛ abien mu
6,binding energy,ahoɔdenneɛ a yɛhia de keka nneɛma bi bom
6,binocular,afidie a yɛde yɛn ani mmienu hwɛ mu de hwɛ nneɛma a ɛwɔ akyirikyiri
6,black-hole,ewiem beae bi a nsoromma bi ate agu
6,blade,ade traa a ano yɛ nam
6,block,si kwan (blɔk)
6,blue,ahosuo bunu (bruu)
6,blur,adeɛ a emu/ani nna hɔ
6,bob,rekɔ ba ntɛntɛm so
6,boiling,rehuru
6,boiling point,baabi a adeɛ bene yɛ hye pa ara kɔpem (pɛnpɛnso a ade huru)
6,boldface,ntwerɛee/nkyerɛwde a emu pi
6,bolt,bootu
6,Boltzmann constant,Boltzmann mmara a ɛgyina pintinnyɛ so
6,bond,ahoɔdenneɛ a ɛka nneɛma bɔ mu
6,boreal,ewiem kanea a edi kan wɔ atifi fam
6,borealis,ewiem kanea a edi kan wɔ atifi fam
6,bounce,repem asan (pem fam san kɔ soro)
6,boundary,ɛhyɛɛ
6,bow,agyan
6,bowling ball,agorɔ a yɛto bɔɔlo wɔ fam bobɔ nneɛma
6,bowstring,agyan ahoma
6,Boyle’s law,Boyle mmara
6,brain,Adwene/amemene
6,branch,nkorabata
6,brass,kɔbere ne sinki nkabom
6,breeder reactor,afidie a yɛde yɛ nneɛma a yɛde gu mfidie mu ma no ahoɔden yɛ adwuma
6,brick,brekese
6,brief,tiawa
6,bristle,Hama a egyina pintinn
6,broadcast,sɛ yɛrekasa afa mframa mu nam redio ne TV so (bɔ dawuru)
6,bubble,ahuro/ntutuo
6,bubble chamber,beaeɛ a yɛkora nsuo a ahuru pa ara a ɛretutu ntutuo wɔ
6,bug,mputupru haw a ɛba wɔ afidie bi ho
6,bugle,afidie a yɛde goro a ne su te sɛ totorobɛnto
6,bulge,mputupru tetretɛyɛ (sɛ ade soa)
6,bullet,etuo aboba
6,buoyancy,sɛ biribi retetɛ nsuo ani berɛ biara a wobɛpia ahyɛ aseɛ
6,buoyant,adeɛ a ɛtetɛ nsuo ani berɛ biara a wobɛpia ahyɛ aseɛ
6,buoyant force,ahoɔden a ɛma adeɛ ɛtetɛ nsuo ani berɛ biara a wobɛpia ahyɛ aseɛ
6,burglar,sɛ worebu dan ani akowia adeɛ
6,burglar alarm,abɛn a ɛbɔ wɔ berɛ a obi rebu dan ani akowia adeɛ
6,by virtue of,ɛnam yei nti
7,cable,Anyinam ahoma
7,cadmium,awunnuro a yɛde yɛ nneɛma bi te sɛ batere ne ade
7,cadmium sulfide,nkyene a abɔrɔ wɔ mu a yɛde yɛ mfidie ahodoɔ
7,calculate,sese
7,calculus,nkontabuo soronko koraa (kalkulɔs)
7,calibrate,susudua ho nsensaneeɛ a wɔyɛ
7,caloric,ɛfa ɔhyew/kalɔris ho
7,caloric theory,adwenemusɛm a ɛfa adeɛ hyeɛ ho
7,calorie,Kalɔri aduannuru
7,calorimeter,afidie a yɛde susu biribi hyeɛ
7,camp,beae a nnipakuw bi wɔ
7,camper,Obi a ɔte beae a nnipakuw bi wɔ
7,candelabra,kaneadua a ɛwɔ mmɛn pii
7,candle,kyɛnerɛ
7,cannonball,aboba akɛseɛ a yɛde hye prɛmo mu
7,canoe,kodoɔ/korɔw
7,canyon,amena donko a nsuwa tene fa mu
7,capable,sɛ obi wɔ tumi bi a ɔbɛtumi de ayɛ biribi
7,capacitance,tumi a anyinam adeɛ wɔ a ɛma no tumi kora ahoɔdenneɛ wɔ berɛ a beaeɛ ɛnya ahoɔden no nni ho
7,capacitor,afidie a ɛma tumi a anyinam adeɛ wɔ a ɛma no tumi kora ahoɔdenneɛ wɔ berɛ a beaeɛ ɛnya ahoɔden no nni ho
7,capacity,tumi a ɛma obi tumi yɛ biribi
7,capillary,Durubɛn a mogya fa mu
7,capillary action,Durubɛn a mogya fa mu dwumadie
7,capsule,afiri anaa aduru ketewa
7,carbon,mframa ɛfiri fangoo ne ade mu ba (kabɔn mframa)
7,carbon grain,mframa ɛfiri fangoo ne ade aba mu ba
7,carbon tetrachloride,nsuo a awuduro wɔ mu a ɛnni ahosuo biara
7,carpet,kuntunu a yɛde sɛ dan mu tiatia so
7,carton,adaka
7,case,asɛm/adaka
7,cast,dura ho
7,catheter,dorobɛn a yɛde hye nipadua no kwan baabi a nsuo anaa aduane fa mu ɛkɔ anaa ɛba (durubɛn a wɔde hye ma dwensɔ fa mu)
7,cathode,katode
7,cathode-ray tube,Durubɛn a ahoɔdenneɛ fa mu ɛnam so ma ɛtumi hyerɛn
7,cause,ne farebae
7,cavity,ɛkwan a ɛda baabi
7,celestial,"awia, bosome, ne nsoromma a ɛwɔ wiem"
7,Celsius Scale,nsanie a yɛde susu biribi nwunu anaa ne hyeɛ
7,cement,semɛnte
7,centimeter,susudua a yɛde susu biribi tenten
7,centripetal,biribi a ɛrekeka kɔ adeɛ bi mfimfini
7,centripetal acceleration,sɛ biribi rekeka kɔ adeɛ bi mfimfini ntɛntɛm so
8,centripetal force,ahoɔdenneɛ a ɛhia sɛ ɛtumi ma biribi keka kɔ adeɛ bi mfimfini
8,cesium,sɛsiom
8,chamber,beaeɛ a yɛtumi tena anaa yɛde biribi guo
8,characteristic,ne su
8,charge,sɛ woreyɛ na ahoɔdenneɛ abɛgu biribi mu
8,charged,sɛ ahoɔdenneɛ abɛgu biribi mu
8,charging by conduction,sɛ woreyɛ na ahoɔdenneɛ a ɛnam anyinam ahoɔden a ɛwɔ sɛkut mu so abɛgu biribi mu
8,charging by induction,sɛ woreyɛ na ahoɔdenneɛ a ɛnam anyinam ahoɔden so abɛgu biribi mu
8,Charles' Law,Charles Mmara
8,chimney,durubɛn a wusiw fa mu
8,chloroform,nsuo a awuduru wo mu a yɛde nane adeɛ (klorofɔm nsu)
8,chord,nsensaneɛ a ɛka ɛpɔ mmienu bom wɔ kanko so
8,chromatic,ɛfa biribi a n’ahosuo mu api pa ara
8,chromatic aberration,sɛ ɛfa biribi a n’ahosuo mu api pa ara ɛnna adi yie
8,circuit,ɛkwan a anyinam ahoɔden nam so
8,circuit breaker,biribi a ɛno ankasa tumi twa anyinam ahoɔden so berɛ a n’ahoɔden no aboro so
8,circular,kanko su
8,clarinet,atentenbɛn
8,clarity,sɛ emu da hɔ
8,clockwise,sɛ biribi retwa ne ho kanko mu fi benkum kɔ nifa
8,club,abaa a ɛmu yɛ duru
8,cluster,ewiem abɔdeɛ a ɛboaboa ano wɔ faako
8,cobalt,adeɛ a yɛde yɛ abɛ dadeɛ
8,cochlea,ɛkwan a ɛda asom a ɛtaa bobɔ te sɛ nwa konkura
8,coefficient,nɔma a yɛgyina so de susu biribi su
8,coefficient of friction,nɔma a yɛgyina so de susu biribi nkyemu dedeyɛ
8,coefficient of linear expansion,nɔma a yɛgyina so de susu biribi tetrɛte mu trɛ
8,coefficient of volume expansion,nɔma a yɛgyina so de susu biribi mu duro trɛ
8,cohesive,adeɛ a ɛsɔ biribi tare
8,cohesive force,ahoɔdenneɛ a ɛma biribi so tare
8,coil,biribi a abobo kurukuruwa
8,coincidence,ɛne no abehyia
8,collect,reboaboa ano
8,collection,sɛ woreboaboa biribi ano
8,collide,redi ahyiamu
8,collision,sɛ biribi redi ahyiamu
8,column,beaeɛ tenten mu baabi
8,combination,nkabom
8,combustion,sɛ biribi rebene ayɛ hye ama hann
8,commercial,adwadie
8,commutator,kɔmuteta (nea wɔde dan anyinam ahoɔden ani)
8,compare,retoto ho
8,comparison,ntotoho
8,compartment,nkyekyɛmu
9,compass,akwankyerɛ afidie
9,complementary,Nea wɔde ka ade foforo ho
9,complementary colours,ahosuo a ɛbɔ abira a sɛ woka bom a ɛma ahosuo foforɔ
9,complementary pigment,adeɛ a ɛma biribi n’ahosuo a saa ahosuo ahodoɔ no woka bom a ɛma ahosuo foforɔ
9,complex,sɛ woreka nnuro ahodoɔ abobom wɔ kwan bi so (emu nneɛma dɔɔso)
9,component,ne fa baabi (emu ade)
9,compress,remoa biribi ayɛ no ketewa
9,compression,sɛ biribi remoa ayɛ ketewa
9,Compton effect,Compton nsunsuansoɔ
9,concave,ɛkwan a ɛda biribi a akoa te sɛ kyensee mu
9,concave lens,ɛkwan a ɛda biribi a akoa a ɛmu da hɔ (kɔnkefi lɛns)
