eng,twi,count,source_files
acid rain,soro nsu a asede wom,1,05_elementary_social_studies_twi; 06_hs_chemistry_twi
calorimeter,afidie a yɛde susu biribi hyeɛ,1,07_hs_living_environment_twi_parallel; 08_hs_physics_twi_parallel
currency,sika a ɔman bi di,1,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
free trade,aguadi a anohyeto nnim,1,05_elementary_social_studies_twi; 12_hs_global_history_twi_parallel
multicultural,fa amammere ahorow ho,1,05_elementary_social_studies_twi; 12_hs_global_history_twi_parallel
"'Fetishes', i. e. spirit, power, mana from or of the Supreme Being.",Abosom.,0,10_ashantiproverbst00rattuoft_parallel
'I am weary of having born you' is something no one ever wants to say.,"Mawo wo mabɛre, wokyi.",0,10_ashantiproverbst00rattuoft_parallel
2020 Decennial Census Program,2020 Nnipakan dwumadie a ɛkɔ so mfi du biara,0,16_Twi-census-Glossary_parallel
"= abasiaba, abofrā, ababā",abaesaba,0,17_A Dictionary of the Asante and Fante Language_mono
"= abe-buṅ, cf. akyeṅkyeṅ.",bebuṅ,0,17_A Dictionary of the Asante and Fante Language_mono
"= abete; 2. F. hardship, trouble, tribulation, adversity.",abebere,0,17_A Dictionary of the Asante and Fante Language_mono
"= abeŋ, horn; woŋ ano ko b. koro mu, they are unanimous, in unison.",beŋ,0,17_A Dictionary of the Asante and Fante Language_mono
"= abofono, sickness of the stomach",bo-yerew,0,17_A Dictionary of the Asante and Fante Language_mono
"= abotoyam', peace, confidence, good cheer.",abo-to,0,17_A Dictionary of the Asante and Fante Language_mono
"= abó mù, stony ground.",abom',0,17_A Dictionary of the Asante and Fante Language_mono
"= adare tia, pr. £12.",adatia,0,17_A Dictionary of the Asante and Fante Language_mono
"= adewá, a certain play and song of women.",adawá,0,17_A Dictionary of the Asante and Fante Language_mono
= ba mu; ne dae abam'. Gr. § 214 after Rem. 2.,bam',0,17_A Dictionary of the Asante and Fante Language_mono
"= babā, bobaw, pl. m-, mmobādua, dry sticks, twigs or branches reaching to the thickness of an arm, brush-wood; wanyā ade anyā ne mmobā, he has got every thing unto the very least, = wanyā ade mā abuṅkam so.",boba',0,17_A Dictionary of the Asante and Fante Language_mono
