page,eng,twi
2,2020 Census,2020 Nnipakan
2,2020 Decennial Census Program,2020 Nnipakan dwumadie a ɛkɔ so mfi du biara
2,address,akyiri akwan
2,address canvassing,akyiri akwan anoboaboa
2,address verification,akyiri akwan nhwehwɛmu
2,administrative record,ofise nkrataasɛm kora
2,adopted son or daughter,barima anaa abaayewa a w'afa no sɛ wo ba
2,adult,ɔpanyin
2,advertising,dawurobɔ
2,age,mfi
2,American Community Survey,Amerika Kuro Nhwehwɛmu (American Community Survey)
2,apartment,tenabea
2,apartment building,tenabea a abusuakuo biara wɔ ne dan mu
2,apportionment,nkyekyɛmu
2,April 1,Oforisuo 1
2,Area Census Office,Mpotamu Nnipakan Asoeɛ (Area Census Office)
2,armed forces personnel,asraafoɔ
3,assisted living center,beae a wɔboa nnipa wɔ n'asetena mu
3,baby,abɔfra fofro
3,basement,aborosan ase nkukubea
3,billboard,sanbɔɔdo
3,biological son or daughter,wo ba barima anaa ɔbaa nimpon
3,boarder,ahyiɛso
3,boat (housing unit),suhyɛn
3,box (check box),adaka
3,brochure,nwoma
3,brother or sister,nua barima anaa nua baa
3,burden estimate,ɔhaw no mu duro
3,cell phone,ahomatrofo
3,Census Day,Nnipakan Da
3,Census ID,Nnipakan Ahyɛnsodeɛ (Census ID)
3,census questionnaire,nnipakan ho nsɛmmisa
3,Census Questionnaire Assistance,Nnipakan ho Nsɛmmisa Boafoɔ
3,child,abɔfra
3,city,kuro kɛse (city)
4,collection of information,regye nsɛmfua ho mmuae
4,college,suapɔn
4,college student,sukuuni a ɔwɔ suapɔn mu
4,communications,nkɔmɔdie
4,community,kuro
4,community development grant,kuro mpuntuo mmoa sika
4,community member,kuro ba
4,community organizer,kuro anoboaboafo
4,Community Partnership and Engagement Program,Kuro Ayɔnkofa ne Nkabom Dwumadie
4,community-based organization,ɛkuo a ɛwɔ kuro yi mu
4,Complete Count Committee,Badwakuo a Wɔhwɛ Akenkan Awieɛ (Complete Count Committee)
4,confidential,kokoamsɛm
4,confidentiality,kokoamsɛm
4,Congress,Abadwafoɔ
4,congressional seat,abadwakuo akonwa
4,correctional facility,asiesiebea
4,cost savings,rete ka so
4,count (noun),akenkan
5,count (verb),kan
5,country,ɔman
5,county,kuropɔn
5,cousin,wɔfa ba
5,cybersecurity risk,ntentanfidie so asiane
5,data,nsɛm
5,data collection,nsɛm ano boaboa
5,data dissemination,rede nsɛm retodwa
5,data dissemination specialist,akora nsɛmfua dwurubɔfo
5,data product,nsɛmdwadɛɛ
5,Data Protection and Privacy Policy,Nsɛmfua ho Banbɔ ne Kokoamu nsɛm ho Mmara (Data Protection and Privacy Policy)
5,data quality,nsɛmfua no papa a ɛyɛ
5,data security,nsɛmfua ho banbɔ
5,date of birth,awoda
5,day,da
5,decennial census,mfi du nnipakan
5,Department of Commerce,Asoeɛ a ɛhwɛ Dwadie so
5,digital advertising,abɛɛfo kwan so dawurobɔ
6,Disaster Recovery Program,Atoyerɛmkyɛm Nsiesie Dwumadie (Disaster Recovery Program)
6,disclose,da no adi
6,diverse,ahodoɔ
6,diversity,akwan ahodoɔ
6,drop-down menu,nsɛm a ɛsane ba fam
6,duplex,efie a wakyɛmu mmienu na abusuakuo baako biara te baako mu
6,education,adesua
6,emergency services,mpofirim dwumadie
6,employment,adwuma
6,encrypted,abɔ ho ban
6,enrolled member,ɛkuo ba
6,enumerate,kenkan
6,enumerator,ɔkenkani
6,estimate (noun),dodoɔ bɛyɛ
6,estimate (verb),keka bom
6,event hosting,redi dwuma
6,extended family member,abusua tenten mu nipa
6,faith-based organization,gyidie koro kuo
7,family,abusua
7,father,agya
7,federal,aban nkabom
7,federal agency,aban nkabom asoeɛ
