page,twi,eng
1,Ìnkyèá né Ǹséḿ Bí,Greetings & Other Phatic Expressions
1,Twi Àtwèrɛ́,Twi Orthography
1,Òbí Réyí Nò Hó Ádté,Introducing Oneself
1,Ǹkóntá,Numerals
1,Àkòntàbúdéé,Numerals
1,"Ìmrɛ́ kà, Ǹná á èwó nàwótwé mú, Àbòsómé á èwó àfé mú",Telling Time: Days of the Week & Months of the Year
1,Àkwànkyèrɛ́,Directions
1,Àbùsùàbó,Family Relations
1,"Ǹnùàné: ènáḿ, Àtòsòdéé né Ǹnùàbá Áhóróó Bí","Types of Food: Meat, Vegetables & Fruits"
1,Wò Dwám,At the Market
1,Èdwá só,At the Market
1,Twi Àhósú Áhódóó,The Twi Colour Spectrum
1,Sùkúù Mú,At School
1,Èwíém Ǹsèsàéé,The Weather
1,Wò Àyàrèsàbéá,At the Hospital
1,Wò Ǹsàdwáásé,In the Drinking Bar
1,Àkwáńtúó: Twi à Èhíá wò Kwáń mú,Travelling: Twi for the Road
2,Àhóyábéré,Leisure time
2,Àhòmègyébéré,Leisure time
2,Twènèbó né Àsá,Drumming and Dancing
2,Wò Àyíéásé,At a Funeral
2,Àfifidèè né Ìmóádómá,Flora & Fauna
2,Àbán né Àmànyòsèm,Government & Politics
2,Ìmèrà né Ìhyèhyèè,Law & Order
2,Ìhwèhwèè né mú Ìsèmmisá,Applications and interviews
2,Ìnéémá títìré bí áà èwó kàsàèé mú,Facts to note in pronunciation
2,Àkàsàkòà né dáádáá Ìsèmmisá bí,Idiomatic and common expressions
2,Kàsàkòà áhódóó bí áà èhó híá,Some essential euphemisms
2,Àdììkrà,Symbols of expressions in Akan
2,ńsèmfùá bí,Word list (Akan-Twi to English)
2,References / Resources for Learning Twi,References / Resources for Learning Twi
4,pápá,goodness
4,pàpà,fan
4,pàpá,father
4,Kòfi ńkásá,Kofi should talk.
4,Kòfi ǹkásá,Kofi does not talk
5,nifá,right
5,bènkúm,left
5,nifá só,right (hand) side
5,bènkúm só,left (hand) side
5,ǹkyéémú,beside
5,èhó,beside
5,m̀fímfíní,middle
5,èmú,inside
5,àkyíré,behind
5,àním,in front of
5,àním tèè,straight ahead
5,àpùèɛ,east
5,àɔ̀éɛ,west
5,àtífí,north
5,ànààfóó,south
5,èrékɔ́ àɔ̀éɛ,towards west
6,èrɛkɔ́ àpùɛɛ́,towards east
6,ɛ̀kwán,road
6,ɛ̀kwán,path
6,ɛ̀kwán,way
6,ǹkwàntá,junction
6,ǹtwàhó,roundabout
6,àsɛ́ɛ́,under
6,èsóró,up
6,èsóró,top
6,èsóró,in the sky
6,èsó,up
6,èsó,top
6,èsó,in the sky
6,dùá nó ásɛ́,under the tree
6,bɛ́pó nó só,on top of the mountain
6,àpàmpàm,on top of the mountain
6,bɛ́pó nó hó,beside the mountain
6,Kɔ̀ w’àním tèè.,Go straightforward.
6,Kɔ̀ àkyíré.,Go back.
6,Kɔ̀ nìfá só.,Go to the right (hand side).
6,Kɔ̀ bènkúm só.,Go to the left (hand side).
6,Mànè nìfá só.,Turn towards right (hand side).
6,Mànè bènkúm só.,Turn towards left (hand side).
6,Brà àkyíré.,Come back.
6,Gyìnà hó.,Stand/stop there.
6,Tènà m’àkyí,Sit behind me.
6,Hwɛ̀ sóró / fám.,Look upwards / downwards.
6,Hwɛ̀ wò nìfá só.,Look at your right (hand) side.
6,Kɔ̀ w’àním ná mànè nìfá só.,Go straight and turn to the right.
6,Èfírí àtíffí kósí ànààfóó.,From the north to the south.
6,Àwìá púé wò àpùɛɛ́ ná àtó wò àtòɛ́ɛ́.,The sun rises in the east and sets in the west.
6,Èdán á ètó só nán wò bènkúm só nó mú nà mètéé.,It is the 4th house from the left that I live in.
6,Sàfòà nó dà èpónó nó só / àsé.,The key is on / under the table.
6,Àbòfrá nó hyɛ̀ né mààmè àkyí.,The child is behind (tied to the back of) his/her mother.
6,Pàpá nó tè dán nó áním.,The man is sitting in front of the house.
6,Mètè èpónó / pònkó nó só.,I'm sitting on the table / horse.
6,Kúsíé hyɛ́/ dá àmèná nó mú.,A rat is inside the hole.
7,"Dèdé, kò àsásó hó nà fá ètòá nó áà èsí èpónó nó ásé nó bíɛ mè.","Dede, go into the living room and bring the bottle under the table to me."
7,"Yòò! Éí, èmú yè dùrù pápá.","All right! Ai, it is very heavy."
7,Èdéén nà èwó mú?,What is inside (the bottle)?
7,Èyè àdúró.,It is medicine.
7,Fá kó Kégyétíá kómá wó mààmè.,Take it to Kejetia and give it to your mother.
7,Èhé nà Kégyétíá wó?,Where is Kejetia?
7,Méfá kwán bén só ákó hó?,How do I get there (which road will lead me there)?
7,Kò w’àním tèè kòsí sè wóbɛhúnú sòtóó bí áà yéátwéré àním sé ‘Ònyàmè túmí’.,Go straightforward until you see a store with the inscription: ‘God’s power’.
7,"Wódùrú hó áà, mànè fá bènkúm só.","At this point, turn towards your left."
7,"Yòò! Mèmànè fá bènkúm só áà, ményé déń bíó?","All right! After turning towards my left, what should I do next?"
7,Kò w’àním tèè kòsí sè wóbéhú ǹkwàntá bí.,Go straight until you see a junction.
7,"Éhó nó, wódànè w’àní hwé wò nifá só áà, Kégyétíá árá né nó.","At this point, if you look towards your right, you will see Kejetia."
7,"Kégyétíá késéé yí né mú ǹnípá pìì yí, méyé déń àhù mé mààmé ápátá?",How do I find my mother’s shed /store with Kejetia being that big and with a lot of people?
7,Nyà ǹtòbòàsèé.,Be patient.
7,"Wómá w’àní só hwé sóró kàkŕá áà, wóbɛhúnú èdáń ténténé bí.","If you look a little up, you’ll see a tall building."
7,Sàà èdáń yí ásé pèè nà wó mààmé sótóó wó.,It is on the ground floor of this building that your mother’s store is.
7,Ònó ǹkó árá sótóó nà èwó hó?,Is her store the only one there?
7,"Dààbí! Wódùrú áà, sótóó áà ètó só núm fírí wò nifá só nó mú nà wóbɛhú wó mààmè.","No! If you reach there, you will find your mother in the fifth store from your right."
7,Yòò! Mèrèkó ábà sèèséi árá.,All right! I’ll be back soon.
7,Mèdààsè! Ǹní ágóró wò kwáń mú ó!,Thank you! Don’t play on the way!
8,Krátàá nó hyɛ̀ àfidié nó mú.,The paper is in the machine.
8,Kàá nó rè,The car is taking a right turn.
9,Pàpá nò tì pònkó nó,The man is sitting on the horse
9,Pònkó nó rè kɔ anim,The horse is going forward
9,Ǹkwàdàá nó tì ìm̀fòyínì nó anim,The children are sitting in front of the picture
9,Ìmfòyínì nó wò ǹkwàdàá nó akyì,The picture is hanging behind the children
9,Bóòlò nó dà ǹkwàdàá nó nán,The ball is lying beside the child
10,Ǹnípá nó tètè kyìnìèé nó,The people are sitting under the umbrella.
10,Òbáá nó,The woman is sitting at the left of the man.
10,òbàrímá nó,The woman is sitting at the left of the man.
10,só,The woman is sitting at the left of the man.
