page,twi,eng
17,a,a father
17,a,a sound unknown in Eng.
17,a (broad),a in far
17,"a, ā (thin)",a in fat
17,e (before i & u),"e in met, ü = u in but"
17,"e, ē (broad)","e in very, there"
17,"e, ē (middle)","e in bed, eight"
17,"e, ē (narrow)",between e & i
17,e = ey,prey
17,i = i,pit
17,i = ee,meet
17,"i, ī (close)","i in fill, ravine"
17,o = o,not
17,o = o,no
17,"o, ō (broad)","o in not, nor"
17,"o, ō (middle)",o in tobacco
17,"o, ō (narrow)",between o & u
17,u = oo,foot
17,u = oo,boot
17,"u, ū (close)","u in full, rule"
25,bakua,stalk of a plantain- or banana-tree
25,abe bu-de,"symbol, prognostic"
25,berede,a red bead put among the marks in the pot of a sooth-saying demon
25,bése,a kind of amulet
25,abuká,a kind of amulet
25,dasūmaṅ,a kind of play
25,guam,he was killed by two guns fired at him at once
25,kaberé,"when something has been stolen, a small cord (ññuahama) is tied round a piece of wood, then the thief will die"
25,ūkū,a kind of amulet
25,amamfō,a kind of amulet
25,mmanim-pe,to be longing after men
25,amanni-pe,sociality
25,mmurutuwa,"opening, door or entrance of the round houses of the Nta people at Salaga"
25,e-nām,fishing
25,nām-kūmfo,butcher
25,nāṅkwanseni,butcher
25,nnontwuwu,a kind of play
25,sansaṅwie,"wode asem ato woso, se nso woadi asem, na woasan, na abowo"
25,o-seṅkām,wabome s. = wakā akyere me se obekā asem akyere me
25,asíbělete,"esono-nè-ne-mma, s. agoru"
25,sūare,"a beaten path, track, trace, vestige, mark; yehūū sono anāmmoṅ nè woṅ sūare pī, beboro dakoro kwaṅ po, we saw many footprints and other marks of elephants for even more than a day's journey"
25,yera,he seeks thereby to obliterate his tracks to mislead or frustrate investigation
25,tew ani yera,to frustrate
25,ayera,a kind of amulet
26,a,"The vowel a, nasal ã, is changed or shortened into a, ă, e, o, ẹ, ọ, ĕ, i, and enlarged into ā, ā, or into the diphthongs ae, āe, ai, au, aw, āw; Gr. § 1-5. 17,3. 19 A."
26,a-,"pref. 1. of nouns in the sing. and pl. (Gr. § 29,2. 35,2. 42,1. 43. 44. 71. 104,2), of adjectives (§ 69,1b.c. 70,2. 72.), of numerals (77. 78,2. 3.) and of a few particles, viz. adverbs (134, 3), conjunctions (142) and interjections (147,1. 5. 6.) — 2. of the verb in the perf. and consec. forms (§ 91,4. 8. 92. 95-97.)"
26,a,"rel. part. (conj.) 1. having no comma after it, belonging to a noun, pron., or princ. sent., that = who, which, where, or any other rel. pron. and conj.; such as, so that. Gr. § 64. 65. — 2. usually followed by a comma, belonging to a subord. sent., if, when, though. Gr. § 141, 3 c."
26,a,interrog. part. Gr. § 142.
26,a,"emph. part. (interj.) Gr. § 75,2. 144. 151.—F. (at the end of a sent., omitting eye at the beginning) = it is. Mt. 16, 12. 14. Mk. 14, 19."
26,ā,"=ara, s. under R."
26,"à, à",int. ah! oh! aha!
26,"ai, āì, aī",int. eigh! ah! ah me! alas!
26,á ò,int. what! why! hey! ay! fie!
26,a u,"int. F. ah! Mk. 15, 29."
26,"a m-, an-, aù-","pref. 1. of nouns in the sing., Gr. § 29,2. 35, 5. 2. of the v. in the perf. or consec. neg. forms, § 92. (95, 1-5. with w=o). 3. of the particles ampá, ànsā, ànkā."
26,b,"The consonant b occurs before pure vowels and ā in bā; is changed into m, by an m (n, ṅ) before it, or into w, in dim. forms; or, together with e, i (-eb-, -ib-) into o, u; Gr. § 18. 19 B. 20, 4; is lost in dim. forms and in the verbal pref. be after the pron. me. Gr. § 37. 91,6."
27,ba,"v. to come, i. e. to move to or towards the speaker or addressed person; — to come forth; to come to pass, to happen; to take place, to arise; to fill: nsu ba, the river fills; — to produce: asase ba aduan, the earth brings forth food. — ba mu, to come in, into; to be fulfilled, realized. — ba so, to come upon, befall, overtake; to succeed (on the throne); to become famous, renowned. — de.. ba, to bring; kɔfa.. ba, to fetch. — imp. bɛra; inf. obá, odi akoŋnè-abá, waba ha mmae, ne koree nè ne bae, F. mbā, Mt. 24,3. — red. beba, boba. — Gr. § 95. 104."
27,o-ba,"inf., s. ba."
27,bo.. ba,"to beckon (and call or bid) to come; gye.. ba, by assenting replies to encourage a speaker to continue."
27,o-ba,"pl. m-, offspring, child, son (obábanin, obábàrimá), daughter (obábea); the young of animals; person (esp. in cpds.); me ba, my brother's child. — -ba, -ma, -wa, diminutive suffix; Gr. § 37."
27,o-ba,a kind of beetle.
27,ba,"(in cpds., as bakoŋ, basiŋ, batwɛw, mmati) = basa; s. baw."
27,aba,"(pl. id.) F. amba, kernel, seed, fruit; cf. adua, aduaba; eggs; da aba so, to brood; — ball, knob; pl. abaabá, knots, clods, globules."
27,aba,"welcome, salutation; mā -, to welcome."
27,aba-ō,"int. F. welcome! hail! Mt. 27, 29. 28, 9. Gr. § 147, 5."
27,bā,"v. to extend, spread out, s. mpasŭa; cf. bae. — red. bābā. — bā mu, to make or give way between; syn. yerɛw mu."
27,bā,"place, spot; mmā ŋhinā, everywhere; s. bābi, baw, bew, bea, bere."
27,o-bā,"pl. m-, woman, =obéa, o(bā)basia; cf. abāwa."
27,abā,"pl. m-, wand, rod, whip, stick for beating, cudgel; pl. blows, strokes; cf. dua, nsabā, aporíbā, poma, twom, mpire, sikafere. — Phr. bo.. mmā, to flog; cf. fwɛ; di abā, to receive a flogging or blows. pr. 31. 1450. 2637."
27,mbā,"inf., F. s. ba."
27,bā,"pl. a-, bough, branch of a tree, river; cf. basa, baw, dubā."
27,bā,a play-card with 6 figures in 2 rows.
27,bàba,a sickness of the genitals.
27,bābā,"pl. m-, =bobā."
27,o-bábā,"pl. m-, daughter, =obábea."
27,ababā,"abábàwà, pl. m-, maiden, young woman, married or not, who has not yet born a child, or only one or two; syn. abeafó."
27,bàbababa,"adv. profusely, said of raining; cf. osu."
27,bābā,"bābae, red. v., s. bā, bae, anim abābae, anobābae."
27,bābàdóm,"an army in dispersion; woyɛ b., syn. woɓo petɛ."
27,Bābae-ntwā,pr. n. an epithet of the Asantes; cf. Bae.
27,o-bábaniŋ,"pl. m-, son."
27,o-bábarimá,"pl. m-, son."
27,o-bābasía,"pl. m-, woman; s. obea, obā, obasia; cf. akatasia, akatamasiaba."
27,babayémfī,"babayéntɛn, s. bob..."
28,o-bábea,daughter
28,o-bábére,"a fine, beautiful, delicate woman"
28,bábí,"some place, somewhere; elsewhere"
28,mmābi-mmābi,"in different places, here and there"
28,bābiara,anywhere; in negative sentences nowhere
28,bābi-mbre,where; how
28,o-bábó,beckoning and calling to come
28,o-bábun,"a young, fresh, healthy man, a man in the prime of youth"
28,abábumma,"lad, stripling"
28,o-bábun,"a young, fresh woman in the state of puberty, maid, virgin"
28,o-bābumma,"girl, lass, young woman of 12-16 years"
28,abadae,the yearning of bowels for a child
28,abadiŋ,names of children
28,abádōmā,"a young, fine, tender, little child, infant"
28,obād,"a young, fine, tender, little child, infant"
28,abadōmāba,"a young, fine, tender, little child, infant"
28,Badu,pr. n. of a man who is the tenth child of a mother
28,Baduwa,likewise of a woman
28,abaduaba,s. abed...
28,o-baduedúèfó,"rambler, rover, stroller, vagabond"
28,abadwẽ,a man whose hand is withered
28,o-badwémmá,"a pensive, thoughtful, prudent, reflecting, considerate, sensible, intelligent person"
28,ebádwóm,s. ǹñwõŋkoro
28,bae (mu),"to disjoin, part, cleave, sunder, rend; to open, gape; to unravel, loose, unloose, unstitch, unroll; to distend, extend, expand, spread, spread out"
28,Bae,"surnames of the Asantes, as a host of endless coming, or, extending so far that they cannot be surrounded"
28,Baebae,"surnames of the Asantes, as a host of endless coming, or, extending so far that they cannot be surrounded"
28,Baebae-antwa,"surnames of the Asantes, as a host of endless coming, or, extending so far that they cannot be surrounded"
28,o-bàèaŋkó(ro),one who came and did no more go
28,baebae,1. s. bae; 2. the day breaks
28,ábàéfò,"new-comer, new beginner, novice"
28,abaesaba,"= abasiaba, abofrā, ababā"
28,bafáŋ,"a child who did not learn to walk within the first 2-7 years; sluggard, lazybones"
28,bafane,"a child who did not learn to walk within the first 2-7 years; sluggard, lazybones"
28,bafow,forager
28,bafoo,forager
29,abafra,"abofra, abofra, mmofraase."
29,abafraba,"abofra, abofra, mmofraase."
29,mbafraber,"abofra, abofra, mmofraase."
29,mbafram,"abofra, abofra, mmofraase."
29,bàfua,"a single thing or person, one and the same thing."
29,o-bágofo,fornicator; syn. mmeapefo.
29,abágów,"relaxation or slackness of the arms; eye me ab. = atu m'abasam, amā mapa abaw."
29,bàgua,"public assembly, congregation, council; - ofra baguam' or baguafom', he is a member of the council."
29,abaguadé,share of fees for attending a palaver; pr. 37. 370. 2966.
29,baguafó,elders and other persons met in council or assembled for public deliberation.
29,bagya,a fourfooted beast; pr. 38.
29,o-bágyé,exhortation to continue in a speech.
29,a-bágyé,adoption.
29,oba-gyigyéfó,1. nurse; 2. a mischievous child; one who gets other persons into trouble.
29,bahá,dry fibres of the bark of the plantain stalk; pr. 10. 569. 629.
29,o-bá-huhuni,a worthless fellow; s. ahuhufo.
29,baká,"lagoon, lake communicating with the sea; F. lake, pond; cf. otare."
29,abákáń,"the eldest child, the firstborn; the state or birthright of a firstborn son."
29,bakánōmā,"lagoon-bird, heron, stork &c."
29,bakasíanepo,"a bird, s. otwiroŋku."
29,abákó,"a kind of shea-tree(?), with brown wood used for furniture; of the seeds oil is made in Akem."
29,bākō,"one; obākō, one person; Gr. § 77. 80, 2. mmākō-mākō, one by one, each. pr. 2548. 3258."
29,o-bākōfo,a single person. pr. 455-459.
29,o-bākokonímma,"dim. of the foll. [obā, akoko-nini.]"
29,o-bākokonini,"a conceited, vain-glorious woman (like a cock), coxcomb."
29,bākōmā,"nobleman, lord, prince, person of the royal family, of high rank or position; high-born; aristocrat; di b.=di adehyesem, to be imperious, violent, positive, stubborn, wilful, arbitrary. pr. 39. [oba a onam ne koŋ so, onam na ototo ne koŋ kyēa.]"
29,bákóń,wrist.
29,abakosém,"history, story of past events; cf. abasem."
29,bākroń,"nine persons. Gr. § 80, 1."
29,bakua,s. kwadu b.
29,abakyére,gold and costly beads tied round the wrist in honour of one's birth or deed.
30,bam,"v. to embrace (in welcoming, syn. fäm, ye atū, or in fighting); b. kyinīi, to raise and shake a state-umbrella, = pem bamkyinīi; -red. bemmam, bommam."
30,bam',= ba mu; ne dae abam'. Gr. § 214 after Rem. 2.
30,bàm,"adv. expressing the sound of striking, clapping, lashing, falling."
30,bámbam,"adv. expressing the sound of striking, clapping, lashing, falling."
30,abám,"a ceremony performed at the birth of twins, of the 3 d, 7 th to 11 th child, and in their after life by themselves, before every new crop or harvest. Qyẹ ab., wòyẹ abámfó; he is, they are entitled to the abam ceremony. Wọde adwẹre guare ab. Fida, pr. 1127. Sẹ aduamforo biara bọ a, abámfó añnuare abam a, wonni bi."
30,bam,"imperiousness, haughtiness, insolence; syn. adehyeseṃ, ahenemmasem; odi no so b., he plays the rich or high-born; he plays insolent, wanton tricks. -bamdi, inf."
30,bamé,"imperiousness, haughtiness, insolence; syn. adehyeseṃ, ahenemmasem; odi no so b., he plays the rich or high-born; he plays insolent, wanton tricks. -bamdi, inf."
30,bamsém,"imperiousness, haughtiness, insolence; syn. adehyeseṃ, ahenemmasem; odi no so b., he plays the rich or high-born; he plays insolent, wanton tricks. -bamdi, inf."
30,bámma,"pl. m- [baṅ, ba dim.] the projecting lower part of the wall in Negro houses, used as a seat. pr. 2252."
30,bámma,"pl. m-, a stripe of country-cloth; the breadth in which it is woven; a ribbon; syn. ntambamma, Ak. bẹ̃nã."
30,abammá,"woto ab., they put their hands on each other's necks."
30,bamfo,"-foo, a thorny plant, pr. 1676-77. [pr. 1213. 2791."
30,bamiawu,a kind of snake.
30,bamkoṅ,"[s. bam & koṅ, neck]: ọto b. kasa, he speaks haughtily; ototo ab., he walks with a majestic air."
30,bamkyinīi,"(kyinii a wopem di hene so), state-umbrella; [pr. 1729."
30,bamsém,"s. bam, bame."
30,baṅ,"v. to lie or to lay in a proper row, to extend; to string (ntrama, wo hama so); to pile up, to store (ọde, putu so); to hem in (atade ano, with a ribbon); b. ho, syn. sã ho; b. hō, syn. toto hō. -red. bemmaṅ."
30,baṅ,"1. row, fence, enclosure, frame; esp. the fence round the yard of a negro-house; watwa baṅ mu, he had to do with the king's wives. - cf.fabaṅ, dantabaṅ. - 2. =dua-so, s. duasee. - 3. esp. in cpds.: form, figure, shape; fashion; manner, nature; race, kind, species; syn. su (wo su nè wo baṅ biara nye!) s. abóa-baṅ, abusúabaṅ, adakabaṅ, odammáṅ, dobáṅ, duabáṅ, nipabáṅ, nsrabáṅ, subáṅ or súbaṅ; ọdabáṅ, abodabáṅ, adibáṅ = aduaṅ', ahabáṅ. - 4. a fortified place; si baṅ, to put people in a place by authority in order to enforce the laws, or to keep the people in subjection and prevent their falling off; to place troops in a strong position; to occupy a place as a garrison."
30,abaṅ,"-ne, (pl.id.) a house built of stone, cf. ọdaṅ; a large fine building, palace; pr. 3190. - a large, strong building = abaṅkese, fort, castle."
30,ọ-báṅ,"pl. m., a string of cowries, 40 cowries; wótọ̀ no báṅ-báṅ, wọtọntọ̀ṅ no abáṅabáṅ, they sell it each for a string; cf. ntrama."
31,ó-báń,"a beast of prey, the wild cat."
31,bānáń,four persons.
31,o-bananá,"grand-son, grand-daughter, grand-child."
31,abaṅase-abáṅase,a kind of herb.
31,abaṅhìnà,a pot (ahina) containing palm-wine for a string of cowries (bań).
31,o-banimdefó,"a person of understanding, possessing knowledge."
31,o-banimmá,diminutive of obani.
31,o-banim-méré,a handsome man; an effeminate man.
31,o-banim-moné,a bad man.
31,o-banim-panyiń,"an old, venerable man."
31,o-baníú,"man, male person."
31,baniṅfána,armring of a man.
31,baniṅfo,brave men.
31,baniṅhá,"bravery; ohye no b., he encourages him."
31,baniṅhá-hyé,encouragement.
31,abanínsém,"manful, manlike, manly, warlike deeds or behaviour, bravery; odi ab., he shows manliness, quits himself like a man."
31,o-banín-táń,"a man that has children, a father of a family."
31,o-banin-trófo,"a lying man, liar."
31,o-baniṅ-warefo,a married man.
31,o-banín-yéń,"wizard, sorcerer, magician."
31,o-banin-yére,"an unborn child, designated by a man to be his future friend or wife."
31,baṅkám,a kind of golden ornament.
31,abaṅ-kesé,"fort, castle."
31,baṅkoroapém,a kind of bead.
31,o-baṅkú,"a kind of food, prepared of ground maize, commonly eaten when yam is scarce."
31,abàṅkúá,see àkúá.
31,o-bàṅkyé,"the cassava, cassada, manioc, jatropha manihot."
31,abaṅōmā,"step-child, foster-child."
31,o-bansiní,a man of a garrison.
31,o-bansoa,a bird.
31,bánsoṅń,"long; n'anim b. he is long-faced, long-visaged."
31,bánteṅ(ń),"long-shaped, long."
31,abaṅsosém,"a word talked over the fence, (idle) talk, gossip, hear-say."
31,aban-ténteṅ,tower.
31,aban-tiá,"a small fort, as the Mortella tower near Christiansborg."
32,abántó,"(the act of) building a stone-house; masonry, mason's work."
32,o-bantoni,"mason, bricklayer."
32,bànu,"two persons, two together."
32,bānúm,five persons.
32,bannua,"any kind of tree (ofosow, atōa, ...) used for fences."
32,abańńuá,the court or yard of large buildings
32,o-ba-nyansafó,"a wise person; syn. obadwémmá, obanimdefó, onyansafó."
32,o-bannyā,a long red intestinal worm.
32,abanyimfä,= (nsa) nifä.
32,bapoń,a disease in the jaw-bone.
