page,twi,eng
6,a. or adj.,adjective.
6,abt.,about.
6,adv.,adverb.
6,affirm.,affirmative.
6,App.,Appendix.
6,attrib. adj.,attributive adjective.
6,aux. v.,auxiliary verb. Gr. § 106 ff.
6,bef.,before.
6,bel.,below.
6,caus.,"causatively. Gr. 208,3.4."
6,cf. confer,compare.
6,com.,common language.
6,conj.,conjunction.
6,con.,connected form. Gr. § 47. 49.
6,consec.,consecutive form. Gr. § 91.
6,contin.,continuative form. Gr. § 91.
6,contr.,"contracted, contraction."
6,co-ord.,co-ordinate (sentence).
6,cpd(s).,compound(s).
6,d.,"penny, pence."
6,dec.,decent language.
6,deriv.,derivative(s).
6,descr.,descriptive (a. or adv.)
6,diff.,different.
6,dim.,diminutive.
6,e. g. exempli gratia,for example.
6,emph.,emphatically.
6,esp. espec.,especially.
6,etc.,and so forth.
6,euph.,euphemistically.
6,Europ.,European.
6,except.,excepting.
6,expr.,"expressed, expressing."
6,fact.,factitively.
6,f. i.,for instance.
6,fig.,figuratively.
6,f. foll.,following.
6,fr.,from.
6,frq.,frequentative.
6,fut.,future tense.
6,gener.,generally.
6,Gr.,Grammar.
6,ib. ibid. ibidem,in the same place.
6,id. idem,the same.
6,imit.,imitative (adv.)
6,imp.,imperative.
6,inf.,"infinitive, verbal noun."
6,int. interj.,interjection.
6,interrog.,interrogative.
6,intr.,intransitive.
6,Introd.,"Introduction, Introductory."
6,l.,line.
6,lang.,language.
6,lit.,literally.
6,n.,noun.
6,neg.,negative.
6,num.,numeral.
6,obsc.,obscene.
6,obs.,obsolete.
6,Observ.,Observation.
6,opp.,opposed (to).
6,orig.,originally.
6,"p., pp.",page; pages.
6,part.,particle.
6,perf.,perfect tense.
6,perh.,perhaps.
6,pers.,person.
6,Phr.,Phrase(s).
6,pl.,plural.
6,poet.,poetical.
6,poss.,possessive.
6,pr.,proverb.
6,pref.,prefix.
6,pr. n.,"proper noun, proper name."
7,a,ana
7,a. s.,anase
7,ɛ,ɛness
7,ɛtɔd,ɛtɔ-dabi-a
7,n,"a, nè ade"
7,n. s.,ne sɛ
7,ŋh,ŋhinaa
7,nt,ntaku
7,ny,nyinaa
7,Nyaŋkp,Nyaŋkɔpɔŋ
7,Ony,Onyame
7,Onyaŋk,"Onyk, Onyaŋkɔpɔŋ"
7,s. eb,"sɛ eb, sɛ ebia, as for example"
7,tet,tetefo (kasa)
8,&,and
8,&c.,"et cetera, and so on, and the like"
8,..,"between two parts of a verbal phrase indicate the place of an object to the v. or of an attributive n. or pron.; e. g. so .. mu, to help (as in òso nó mú); or, to lay hold of (as in òso nó mú)"
8,...,"stand for three or more omitted letters, syllables or words"
8,=,equal to
8,>,"more or larger, i. e. of a wider sense, than..."
8,<,"less, i. e. of a narrower sense than (the following word)"
8,†,"dagger, indicates newly coined words, see Preface p. VI"
8,§,"paragraph, section"
8,"-, :",repeat
11,Tshi,"or Twi, is the language prevalent in the Gold Coast countries between the rivers Asini and Tanno on the W. and the Volta on the E., and extends even beyond this river; its southern boundary is the sea-coast, while the upper course of the Volta, and the Kong mountains are its northern limits."
11,Twi,"rarely Etwi or Otwi, is the form used in the vernacular. It is pronounced like 'Chwee', ch and w being uttered simultaneously. The vowel i has a rising and falling tone, thus: î or ii. Twi probably denotes 'polished, refined'; from twi, to rub, polish."
11,Akán,"or Akan, probably meaning 'foremost; genuine'; from kaŋ, first; e.g. ɔyɛ Ɔkanni, he is a born or genuine Tshi man. 'Akan' is used in a wider sense (a) for the dialects of Akem, Asante, Adanse &c. (s. § 2), and (b) in a narrower for those of Akem and Asante only."
11,Otshui,"The name 'Twi' being used not only by the natives themselves, but also by the Accras and tribes to the east of the Volta, (in the form 'Otshui'), it has been retained as the generic appellation of the language."
11,Akan,"The dialect is considered to be spoken purest (a) in Akem; but by its ""dainty and affected mode of expression"" (e. g. the frequent ɛ & ɔ, where most other dialects have simply e & o, as, ades, ases, kɔree, ɔbɔɔ, sɔɔ, = ade, ase, kɔe, ɔbo, so), it appears less suited to become the common dialect of all-Tshi tribes."
11,Asante,"The dialect of Asante agrees in all essentials with that of Akem, only the pronunciation is ""broad and hard (tɛtɛrɛ denneenɛŋ)"", e. g. people say ""kērɛ"" instead of ""kyerɛ"", - whilst in Akem it is ""soft and delicate (bɔkɔɔ freŋkyemm)""."
11,Akuapem,"The dialect of Akuapem, derived from Akem and Akwam (an Akan dialect of old standing) and having points of contact with Brɔŋ and Fante, became about 1842 the literary form intelligible to all the other."
12,Brɔŋ,"The name applied by the Asantes to a group of dialects (also known as Kāmănă) spoken in the districts N. & N. E. of the Akan districts, including Okwawu, Dkorănsă, and others, which are considered genuine Tshi but may contain foreign elements."
12,Kāmănă,"A dialect spoken in the districts N. & N. E. of the Akan districts, also known as Brɔŋ, which does not differ much from genuine Tshi."
12,Fante,"A branch of the Akan language spoken by several maritime tribes in the South, which differs from other dialects by changing initial sounds (kw, gw, hw) before palatal vowels and by curtailing final vowels."
12,Tshi,"A language belonging to the Kwa group, spoken in the area between Senegal and Eastern Nigeria, specifically within the Ewe-Tshi subgroup, encompassing the Akan-Fante dialects."
14,a,sounds like a in Shuh.
14,a,is narrow as in hat; in Fante as in gay.
14,ɛ,is an open e as in let; French è.
14,e,(full) sounds like e in prey.
14,e,(narrow) is between e & i; in some Fante dialects approaching to i in pit.
14,i,is like i in believe or ravine.
14,ɔ,has the sound of o in not.
14,o,(full) sounds like o in November; French mot.
14,o,(narrow) is between o & u; in some F. dialects approaching to u in put.
14,u,is sounded like u in rule.
16,ky,"occurs before palatal vowels, and both constituent letters are sounded; y, however, weaker before e, ɛ, i, ĩ. In Akem the pronunciation of ky slightly approaches to that of 'ch' in church, whereas in Fante it is nearly like ch. In Asante the y is sounded less distinctly, especially before r; e. g. kɛre = kyers."
16,gy,"is softer than ky, and appears before (a), e, ĩ; before ɛ, i, ĩ the y sounds weak. In certain Fante dialects gy is pronounced like English j."
16,hy,represents the ch-sound in Scottish nicht or in German ich. In some Fante dialects it is like English sh.
16,n,"as in English. It interchanges with d, r, m, ŋ. When united with nasal vowels, it is an original sound; when followed by pure vowels, it is a transformation of d. Before dentals, n is dental, before palatals it is palatal."
16,y,"as in English yet. It occurs before a, ɛ, e, i, (ɔ, o); before nasal vowels and in some Fante words 'ny' takes its place. It interchanges with ny, w, ŵ, hy, h."
16,ny,"a palatalized (unsyllabic) n, resembles ni in companion or ñ in cañon. Ny is an original sound before ã, ɛ̃, ĩ; before pure a, e, i, it is a transformation of original gy."
16,t,"is nearly like English t, and occurs before pure and nasal vowels. It interchanges with s. In dialects, dental and alveolar t's are found; in Fante also the retroflex t."
16,d,"is alveolar in Akuapem and Asante; dental in Fante (& Akem?); retroflex with tribes whose mother-tongue is Guang, but who speak Tshi besides. D occurs before pure and nasal vowels; before the latter, however, only when they are followed by m, n or ŋ. It is changed into n by an m (n, ŋ) before it, and into n or r by negligent pronunciation."
16,ts,"are found in Fante dialects before (ɛ), e & i, where other dialects have only t & d respectively. Ts sounds almost like ts in hats; whereas dz is the corresponding soft and voiced sound. Dz interchanges with s."
16,dz,"are found in Fante dialects before (ɛ), e & i, where other dialects have only t & d respectively. Ts sounds almost like ts in hats; whereas dz is the corresponding soft and voiced sound. Dz interchanges with s."
16,s,"is sharp as in English sun, and occurs before pure and nasal vowels. Before ũa & ĩa it is palatal (slightly approaching to the sound of sh); the pronunciation varies, however, locally. It interchanges e. g. with h, t, hw (=fw), but seldom. — In Fante we sometimes find d or dz for s."
16,r,"is the rolled or trilled Scottish r. It does not begin any genuine Tshi word or root, but only secondary syllables (pra, frɛ = pãra, fɛre). In the prefix re-, also in ara and nɛra, it was originally d. Before nasal vowels r interchanges with n; e. g. trã, tɛ̃na. In foreign words r is used instead of l."
16,f,"is sounded as in English. It occurs before pure and nasal vowels, and interchanges (seldom) with hw (= fw), h, p, s."
16,p,"is sounded as in English. It is found before pure and nasal vowels, and interchanges with f & w."
16,b,"is pronounced as in English. It occurs before pure vowels and ãã in bãã; and is changed into m, w; (o), u (adibane: aduane); pp. XIX and XXIII, III. Gr. § 18ff. 37."
16,m,"is pronounced as in English. When original, it is united with nasal vowels; when followed by pure vowels, it is a transformation of b, caused by a preceding m (or orig. n, ŋ). It interchanges with b, w, n, ŋ. — M before f is some persons not formed with both lips, but with the lower lip only; e. g. ahenfó; usual form: ahemfó."
16,š,"nearly like sh, is used in foreign words only."
16,w,"a bilabial semi-vowel, is pronounced with the lips more contracted and less protruded than in the English w; it has a soft sound before o & u. It is found only before the pure vowels a, ɔ, o, ǫ, u. As a final sound, w forms diphthongs, which are, however, usually avoided in Akan. W interchanges with b, p, h."
17,m,"stands before p, f, m"
17,n,"stands before t, s, n"
17,ŋ,"stands before k, kw, ky, h, hw, hy, ŋw; w, hw (= fw), ŋw, ŵ"
17,mb,become mm
17,nd,become nn
17,ngy,become nny
17,ŋg,become ŋg
17,ŋdw,become ŋgw=ŋŵ
18,awowa,a pledge
18,aŭowa,a brass basin
18,ŋŋwo,to beget
18,ŋŋwo,to cool
18,wo,to dry up
18,wo,honey
18,thoŭ,to beget
18,mo,rice
18,mo,to wrap round
18,yeŋ,ship
18,we,to nurse
18,bù,to bend
18,buá,to cover
18,bué,to uncover
18,pà,to strike
18,paé,id.
18,sì,to stand
18,sié,to place
18,beá,place
18,beaé,id.
18,bà,to come
18,baé,the coming
18,tù,to brush
18,tui,a brush
18,dò,to love
18,adɔé,loving-kindness
18,afú,farm
18,afúo,farm
18,afúw,farm
