page,eng,twi
3,A.D.,Y.B.
3,abilities,mmɔdenbɔ ahorow
3,absence of government,aban nni hɔ
3,absentee ballot,aba a nea onni hɔ to
3,accomplishments,nea wɔatumi ayɛ
3,achievements,nea wɔatumi ayɛ
3,acid rain,soro nsu a asede wom
3,across time and place,bere ne beae mu
3,action plan,dwumadi ho nhyehyɛe
3,activities,dwumadi ahorow
3,adults,mpanyimfo
3,aerial photographs,mfonin a wɔatwa afi soro
3,AFL-CIO,AFL-CIO
3,Africa,Afrika
3,agriculture,kuadwuma
3,Algonquians,Algonquianfo
3,alike,di nsɛ
3,different,nni nsɛ
3,allegiance,nokwaredi ma biribi
3,alternative solutions,ano aduru ahorow
3,altiplano,altiplano
3,altitude,sorokɔ fi asase anaa po ani
3,amendment,nsakrae
3,"American democracy: ideals, values/principles of",Amɛrika ka bi ma menka bi amanmu: nea wogyina hɔ ma
3,American Revolution,Amɛrika fahodi pere
3,the Americas,Amɛrika mantam
3,Americas,Amɛrika mantam
3,ancestor,nana
3,Antarctic Circle,Antaktik Kɔntɔnkrɔn
3,Antarctica,Antaktika
3,anthem,ɔman nnwom
3,appoint,paw
3,appointed leaders,akannifo a wɔapaw wɔn
3,appointed office,gyinabea a wɔapaw obi ahyɛ
3,archaeologists,fam tutu nhwehwɛmufo
3,Arctic Circle,Aktik Kɔntɔnkrɔn
3,areas,mmeae
3,arid,nni nsu pii
3,art,mfoninyɛ
3,artifacts,anwenne
3,assembly,guabɔ
4,assembly line,pon a woyɛ ade wɔ so wɔ adumayɛbea
4,authority,tumi
4,autobiographies,nsɛm a nkurɔfo akyerɛw afa wɔn asetena ho
4,autobiography,nea obi akyerɛw afa n'asetena ho
4,automobiles,hyɛn ahorow
4,availability,wɔ a biribi/obi wɔ ho
4,avenues of participation,mmeae a wotumi yɛ bi
4,Aztecs,Astɛkfo
4,B.C.,A.Y.B.
4,backgrounds,abakɔsɛm ahorow
4,barter,ade a wode sesa foforo
4,basic,mfitiase
4,basin,bun
4,Battle of Quebec,Quebec Ɔko
4,battles,ako
4,before/after,ansa na/akyi
4,belief,gyidi
4,belief system,nneɛma ahorow a wogye di
4,beliefs,gyidi ahorow
4,Bill of Rights,Fahodi Mmara
4,biographies,nnipa bi asetena ho kyerɛwtoho
4,biography,onipa asetena ho kyerɛwtoho
4,bodies of water,nsu ahorow
4,border,hye
4,Boston Tea Party,Boston Tea Parti
4,boundary,hye
4,boycott,atuatew
4,branches of government,aban afa ahorow
4,British North America Act,Britain Amerika Atifi Mmara
4,budget,sikasɛm nhyehyɛe
4,cabinet,tumidifo a ɔmanpanyin apaw wɔn
4,cable,afiri hama
4,calendar,kalɛnda
4,campaign,dawurubɔ
4,Canada,Canada
4,Canadian Bill of Rights,Canada Fahodi Mmara
4,canal,nsu a ɛda ho tenten
4,capital (state and money),ahenkurow (ɔman ne sika)
5,capital goods,nneɛma a wɔde yɛ nneɛma afoforo
5,capital resources,nneɛma/mfiri a wɔde yɛ nneɛma afoforo
5,capitalism,aguadi nhyehyɛe a ankoroankoro tumi nya agyapade
5,cardinal directions,akwankyerɛ mmeae titiriw
5,cause,nea ɛde ba
5,celebrate,di afahyɛ
5,celebration,afahyɛdi
5,celebrations,afahyɛdi
5,census,nnipa kenkan
5,Central America,Amɛrika Mfinimfini
5,century,afeha
5,change,sesa
5,change,nsakrae
5,checks and balances,anohyeto ahorow
5,child labor,mmofra a wɔde wɔn yɛ adwumaden
5,children,mmofra
5,Chippewa,Algonquain nnipa anaa kasa
5,choice,apɛde
5,choices,apɛde ahorow
5,citizen,ɔmanba
5,citizenship,ɔmanbayɛ
5,civic life,ɔmanba asetena
5,civic values,ɔmanba gyinabea ahorow
5,civil rights,ɔmanba fahodi ahorow
