page,eng,twi
3,abolition,Ntwamu
3,abolition,ntwamu/woyi fi hɔ
3,abolitionist,nea otwa mu/oyi fi hɔ
3,administration,sɛ wɔhwɛ kuw/adwumakuw bi so
3,adoption,sɛ wogye tom/ wɔde yɛ adwuma
3,affirmative action,Dwumadie a yɛyɛ de boa ekuo bi a wɔaka akyire
3,Africa,Afrika/Abibiman
3,African-American,Amerika abibifoɔ
3,Age of Jackson,Jackson Berɛ so
3,aggression,basabasa yɛ/gidigidi yɛ
3,agricultural areas,mmeae a wɔyɛ kua
3,agriculture,kuayɛ
3,AIDS / HIV,AIDS / HIV
3,Albany Plan of Union,Albany nkabom nhyehyɛe
3,Alger Hiss case,Alger Hiss asɛm no
3,Alien and Sedition Acts,Ahɔhoɔ ne Ɔsɔretia Mmara
3,allegiance,ka ntam kyerɛ(ahofama)
3,Alliance for Progress,Nkabom a ɛde nkɔsoɔ ba
3,allied powers,Tumidifo nkabom
3,allies,ayɔnkofo
3,amendment,nsakrae
3,American Federation of Labor (AFL),Amerika Man Asoeɛ a ɛhwɛ Adwumayɛso
3,American Revolution,America man no anidan/atuatew
3,amnesty,Bɔne fafri/mmɔbrohunu
3,anarchy,basabasayɛ
3,ancient,Tete mmerɛ mu
3,annex,ɔfa/nkorabata
3,annexation,Wɔnam mmara kwan so fa/di ɔman bi so
3,anti-federalist,Wɔn a wɔsɔretia ɔman
3,anti-defamation League,Ekuo a wɔko tia din sɛe
3,anti-Semitism,Wɔn a wɔtia Yudafoɔ
3,anti-trust,Ɛkotia gyidie
3,appeasement,Mpata
3,appointment,nhyehyɛe
3,arbitration,Afisiesie/mpata dwumadi
3,armed forces,Asrafoɔ dɔm
3,armistice,wɔyɛ asomdwoe apam
3,arsenal of democracy,Kabimamenkabi amanmuo akodeɛ
3,Articles of Confederation,Nkabomkuo ho Mmara
3,Asia,Asiaman
3,Asian-American,Asiafoɔ a wɔwɔ Amerika
3,assassination,Sɛ wobekum nnipa titiriw bi
4,assembly,baguakuw
4,assembly,nhyiam
4,assembly line,Nkabomkuo fa
4,assimilation,Sɛ wɔre framu(Sɛ wogye biribi/obi tom)
4,Atlantic Charter,Atlantik tirimbɔ/nhyehyee
4,atomic bomb,Atɔmik topae
4,austerity,sɛ wobɛkame wo ho biribi(ɔwiɛmfo)
4,authority,tumi
4,autocracy,kankabi nniso
4,automation,mfiridwumayɛ
4,autonomy,Wode wo ho
4,axis powers,Wɔn a wɔko tia aboafɔɔ tumidi
4,baby boom generation,Mmerɛ a awoɔ dodoɔ kɔ so
4,bank holiday,Sikakorabea ahorow ahomegye da
4,bankruptcy,ɛka buruburoo
4,Bay of Pigs Invasion,Beae a Mpreko wɔ a wɔtow hyɛ so
4,Berlin Blockade,Berlin Akwansie
4,Berlin Wall,Berlin afasuo
4,Bessemer process,Bessemer nhyehyɛɛ
4,big business,Adwuma kɛseɛ
4,Big Stick Policy,Dua kɛseɛ nhyehyɛɛ
4,bill,aman mmara
4,Bill of Rights,Ahofadi Mmara
4,bipartisan,afanu nyinaa yɛ adwene
4,Black Codes,Amerika nkoasom mmara a wɔhyɛ maa abibifoɔ
4,Black Panthers,Abibifoɔ adɔmfokuo
4,Black Tuesday,Ebenada Tuntum
4,blacklist,nea yɛapow
4,Bleeding Kansas,Kansas Mogyatuo
4,Bonus Army,Asraafɔɔ dɔm ntosoɔ
4,boycott,Twe wo ho fri mu
4,buffer zone,Bea a ɛda mmea mienu ntɛm
4,bull market,Nnwumakuw mu kyɛfa a ne bo kɔ soro gua
4,Bureau of Indian Affairs,Atenaeɛ a wɔhwɛ Indiafoɔ nsɛm so
4,bureaucracy,aban nhyehyɛe/ nhyehyɛe a wɔfa so yɛ ade
4,business cycle,Adwumasɛm a edi ntwaho
4,cabinet,asoafɔɔ abadwakuo
4,Camp David Accords,Adweneyɛ a ɛkɔ so wɔ Camp David
4,campaign,ntoabɔ/ɔsatu
4,canals,nsuka
4,capital,kuropɔn
5,capitalism,ankorankoro adwumayɛ ho hyehyɛe wɔ ɔman bi mu
5,captains of industry,Nnwumakuw ma akunini
5,Caribbean,Karibeani
5,carpetbaggers,Ahɔho a wɔpere tumidi
5,cartoons,koliko/mfonini a ɛkeka ne ho
5,case law,mmara ho nsɛm
5,Catholic,Katlike
5,census,nnipa kenkan
5,central government,Ɔman aban
5,Central Intelligence Agency (CIA),Ɔman Adwumakuw a wɔyɛ Nsɛm ho nhwehwɛmu
5,charter,tirimbɔ
5,charts,Mfonini ahorow
5,checks and balances,ahodaso/atenetene/anohyeto ahorow
5,Cherokee,Cherokee abusuakuw
5,Chief Justice,Otɛnmuafoɔ Panyin
5,child labor laws,Mmofra adwumayɛ ho mmara
5,Chinese Exclusion Act,Mmara a Etia sɛ Chinafoɔ bɛba Amerikaman mu
5,choice,apɛde
5,citizen,ɔmanba
5,citizenship,manbayɛ
5,city,kuropɔn
5,civic values,ɔman amanneɛ
5,civil disobedience,ɔman mmara so a wonni
5,Civil Rights,Ɔman mu ahofadi
5,civil society,ɔman mu ahyehyɛde
5,civil unrest,Ɔman mu basabasayɛ
5,Civil War,Ɔmanko
5,Civil War Amendments,Ɔmanko ho Nsakrae ahorow
5,climate,wimhyew/wim tebea
5,closed shop,Ahyehyɛde a wɔfa kuw mufo nkutoo
5,coalition,Akuwakuw nkabom
5,coast lines,Mpoano
5,Cold War,Wontwiwontwi a ɛkɔso wɔ aman a wɔwɔ Apueɛ ne Atɔe ntam
5,collective bargaining,nkitahodi a ɛkɔ so wɔ adwumayɛfo kuw ne adwumawuranom ntam
5,colonial era,bere a ɔman bi di ɔman foforo so
5,colony,ɔman a ɔman foforo di so
5,Commander-In-Chief,Asraafoɔ hene
5,commerce,edwadie
5,committee,boayikuw/bagua
5,commodity,adetɔneɛ
5,common sense,nyansa
5,common welfare,amansan yieyɔ (amansan yiyedi)
6,commonwealth,Aman a na ɛhyɛ Britain ase
6,communism,amanmmui nhyehyɛe a ɔman agyapade nyinaa hyɛ aban nsa
6,Communist Party,Kɔmunisfo amanyɔkuw
6,community,Mpɔtam
6,compare and contrast,Kyerɛ nsɛdi ne nsonsonoe
6,compromise,Nteaseɛ
6,Compromise of 1850,1850 berɛ mu Nteaseɛ
6,computer,Kɔmputa
6,Computer Revolution,Berɛ a kɔmputa bɛkenyan nneɛma mu
6,concentration camps,Nneduaban ahorow
6,concurrent powers,tumidi horow a ɛkɔ so bere koro mu
6,confederacy,nkabom kuw
6,confederation,nkabom kuw
6,conference committees,nhyiam boayikuw
6,conflict,ɔko
6,conflict,ntɔkwaw
6,congregation,Asafo
6,Congress,Mmarahyɛ badwam
6,congressional committees,Mmarahyɛ badwa mu abadwakuo
6,congressional committees,boayikuw ahorow
6,congressional district,Mansin a mmarahyɛ badwa wɔ so
6,Congress Industrial Organization (CIO),Mmarahyɛ badwakuo fa a ɛhwɛ nnwumakuw so
6,conscientious objector,Nnipa tiboa
6,conscientious objector,ahonim nti ɔnkɔdɔm asraafɔkuo
6,consent of the governed,ɔmanfo no mpenesoɔ
6,consent of the governed,gye tom
6,consolidation,sɛ wɔka biribi bom yɛ no biako
6,conspiracy,sɛ wɔbɔ pɔw bi
6,constitution,ɔman mmara kunini
6,Constitution of the United States,United States ɔman mmara kunini
6,constitutional amendment,ɔman mmara kunin mu nsesaeɛ
6,constitutional amendment,nsakrae
6,constitutional convention,ɔman mmara kunini ho nteaseɛ
6,constitutional government,Aban a wɔnam amanmmara so de si hɔ
6,consumer,Adetɔfoɔ
6,Consumer Price Index (CPI),Adetɔfoɔ bɔɔ akwankyerɛ
6,Consumer Price Index (CPI),susude
6,consumption,sɛnea yɛde nneɛma di dwuma de di yɛn ahiade ho dwuma
6,containment,Anohyeto
6,containment,sɛ wosiw biribi ano na antrɛw
6,Continental Congress,Amanaman mmarahyɛ badwam
6,contraband,Adetɔneɛ a etia mmara
6,contract,Nhyehyɛe a ɛkyekyere afanu no nyinaa
6,contract,Apam
6,cons,Nyansakrɔno
6,cons,nnaadaa
6,controversy,Mente me ho ase
6,controversy,akasakasa
6,controversy,anobaabae
6,convention,ntease
6,convention,nhyiam
6,convention,mmara
6,corollary,Nsunsuansoɔ
6,corollary,nea efi mu ba
6,corporation,Adwumakuo
6,cotton gin,afiri a eyi aba ni asaawa no mu
7,counterculture,Amanne/amamerɛ a ɛbɔ abira
7,country,ɔman
7,court,asɛnnibea
7,covenant,apam
7,craft union,nsaanodwuma krɔ nkabomkuo
7,credit,sɛ wowɔ sika/ade firi/ayeyi
7,creditor nation,ɔman a ɔwɔ sika boro so/wɔma bosea
7,crime,nsɛmmɔnedi
7,Cuban missile crisis,Cuba man no bɛmma akode ho haw
7,cultural interdependence,amanne/amamerɛ fa ɔfoforo ho
7,cultural pluralism,amamerɛ a egu ahorow
7,culture,amamerɛ
7,currency,sika a ɔman bi di
7,customs,amanne
7,dark horse,ɔmanyɔfo a onnyee din nanso obetumi adi nkonim wɔ abatow mu
7,Dawes Act,Dawes Mmara
7,debate,anobaabae
7,debt,ɛka
7,debtor nation,ɔman a w'abɔ bosea
7,Declaration of Independence,ahofadi ho mpaemuka
7,defense,bammɔ
7,delegate,anamusini/ɔnamusifo
7,demobilization,wore tete mu
7,democracy,kabinamenkabi/dodow amanmuo
7,democratic,Kabi ma menka bi kwan so
7,Democratic Party,Kabi ma menka bi amanyɔkuo
7,depression,Awerɛhoɔ/abasamtu
7,deregulation,Aban ase a woyi fi
7,desegregation,nkyekyem a wogyae
7,detente,sɛ wobeyi akameakame afi hɔ
7,dictatorship,kankabi/nhyɛso/kateeyɛ
7,diplomacy,nkitahodi pa
7,direct democracy,kabi ma menka bi a ɛyɛ tee
7,direct primary,Nyiyimu abatɔɔ
7,disabled citizens,ɔmamma a wɔadi dɛm
7,discrimination,Nnipa mu nyiyimu
7,disenfranchise,Sɛ wobegye hokwan a obi wɔ sɛ ɔtow aba afi ne nsam
7,dissent,ko tia/wonnye ntom
7,diversity,ahorow/dodow
7,doctrine,ɔsom bi nkyerɛkyerɛ
7,documents,nkrataa/nkataasɛm
8,dollar diplomacy,sikasɛm ho nkitahodi pa
8,domestic,Afie asɛm
8,domino theory,"amanyɔsɛm mu nhyehyɛe a ɛne sɛ sɛ ɔman baako ho ka a, ɛka aman afoforo a ɛbɛn no no nso"
8,double jeopardy,sɛ wɔbetwe obi aso mprenu wɔ bɔne baako ho
8,draft,Wore fa obi aka kuo bi ho(kratasin)
8,draft evaders,Obi a ɔmpɛ sɛ ɔsom/Wɔn a wɔ dwane din twerɛ
