page,eng,twi
3,Abandon,gya hɔ
3,Abandon,gyae mu
3,Abandon,gyaw to hɔ
3,Abbreviation,tiatwa
3,Ability,tumi
3,Ability,ahoɔden (nea wutumi yɛ)
3,Abiogenesis,Onni nkwa-nkwanya (sɛnea yenya nkwa fi nea nkwa nnim mu)
3,Abiotic,Onni nkwa (nea nkwa nnim)
3,abiotic factor,Onni nkwa farebae
3,Abortion,nyinsɛnyiguo
3,Abortion,nyinsɛntugu
3,Absorption,adegyeɛ
3,Absorption,adetweɛ
3,Accomplish,wie
3,according to,sɛdeɛ ɛkyerɛ (sɛnea/pɛpɛɛpɛ yɛ)
3,Account,bu nkonta
3,Account,akontabu
3,Accumulate,boa ano (boaboa ano)
3,Accurate,pɛpɛɛpɛ
3,Acetylcholine,Asetaekolin
3,Acid,Asede (asid)
3,acid rain,asede nsuo
3,Acidity,asede gyinabea
3,Acne,anim nsaa
3,Acquire,nya
3,acquired characteristics,esu a obi anya
3,acquired immunity,bammɔ a obi anya
3,acquired immunodeficiency syndrome (AIDS),babasowerɛmfoɔ yadeɛ ete bammɔ a obi anya so (AIDS)
3,Acromegaly,"Akromigali (etire, nsa ne nan nyinimmorosoɔ yadeɛ)"
3,activation energy,ahoɔden a nkwaboa hia ansa watumi ahyɛ dwumadie ase
3,active immunity,bammɔ a ɛgyina ne nan so
3,active immunity,bammɔ a egya wom
3,active site,beaeɛ a egya wom
3,active transport,akɔnneabadie a egya wom
3,Activity,dwumadie
3,Adaptation,nsesaeɛ
3,Adaptation,nsakrae
3,Adaptive,nsesaeɛ
3,adaptive radiation,Nsesaeɛpu
3,adaptive radiation,nsesaeɛ a ɛpu
3,adaptive value,nsesaeɛ muduro
3,Addiction,deɛ aka obi hɔ (nkahɔ)
3,Additional,deɛ ɛka ho
3,Adenine,nkwammoa mu nhyehyɛeɛ no bi (adenin)
3,adenosine diphosphate (ADP),nkwaboa a ɛboa kora ahoɔden (adenosine diphosphate (ADP))
3,adenosine monophosphate (AMP),nkwaboa a ɛboa yi sesa aduane yɛ no ahoɔden (adenosine monophosphate (AMP))
3,adenosine triphosphate (ATP),nkwaboa a ɛkora ahoɔden a nipadua no de di nkwammoa ahodoɔ ho dwuma (adenosine triphosphate (ATP))
3,Adequate,Mudie
3,Adequate,eso pɛpɛɛpɛ
3,Adequate,eye
3,Adequate,efata
3,Adhesion,Mfameeɛ
3,Adhesion,nkyereeɛ
3,adipose tissue,ɛnam a ɛyɛ sradeɛ akoraeɛ a ɛkora ahoɔden
3,Adolescence,Abaayaewa anaasɛ abarimaa berɛm (mmabun bere)
3,adrenal cortex,akwaa a ɛwɔ wo saabo soro pɛɛ no fa a wohunu
4,adrenal gland,akwaa a ɛwɔ wo saabo soro pɛɛ
4,adrenal medulla,akwaa a ɛwɔ wo saabo soro pɛɛ no mu a wonhunu
4,Adrenaline,Anigyedeɛ (ade a ɛma yenya ahoɔden de di ehu/ɔhaw so)
4,adrenocorticotropic hormone (ACTH),nkwammoa a ɛkora akwaa a ɛwɔ wo saabo soro pɛɛ no (adrenocorticotropic hormone (ACTH))
4,Adsorption,Efi twee (gas mu nneɛma nketenkete a ɛka biribi so)
4,Adult,Panin
4,Advantage,Deɛ ɛyɛ wɔ ho/akwanya
4,Aerobe,Ɛrobo (aboa a ɔsegyen nko ara na ɛma ɔtumi tena nkwa mu)
4,Aerobic,Ɛrɔbeke (akoma ne ahurututuo mu ateneateneɛ)/ɛrɔbeke (ɔsegyen dwumadie) (Biribi a egyina osegyen so na ɛyɛ ade/ tena ase)
4,aerobic respiration,ɛrɔbeke homeɛ
4,Aerosol,Ɛrɔsɔɔ (mopororowa a ɛtumi sensɛn mframa mu)
4,Afterbirth,Awoɔ akyiri adeɛ
4,Agar,Aga (adeɛ a yɛde ma biribi mu pi anaa ɛkyere)
4,Agarose,Agaros (ade titire a ɛwɔ aga mu)
4,Agglutination,Nkekammɔho
4,Agglutinin,Aglutinoyen/nkabomdeɛ (deɛ ɛma nneɛma keka bom)
4,Agglutinogen,Aglutinoyen/nkabomdeɛ hyehyeɛfoɔ
4,Aging,Onyini
4,Agricultural,Kuayɔdeɛ
4,Agriculture,Kuayɔ
4,AIDS (acquired immunodeficiency syndrome),AIDS (Babasowerɛmfo yadeɛ a ɛte bammɔ a obi anya so)
4,Ailment,Yareɛ
4,air pollution,Mframa seɛ
4,air sac,mframa bɔtɔ
4,air space,Ewiem
4,Albinism,Ofiriyeɛ
4,Albino,Ofiri
4,Albumen,Kosua mu fitaa
4,alcoholic fermentation,nsa a ɛka
4,Algae,Apotobibire
4,Algal bloom,apotobibire nyini
4,alimentary canal,Ɔkwan a aduane fam firi w’ano kɔsi wo to
4,Alkaline,aakalaen (nkyɛnyɛne a asede/asid wom)
4,all or none response,ne nyinaa anaa ɛnyɛ mu biara anoyie
4,Allantois,alantɔse (akwaa a ɛfam yafunum ba ho)
4,allele (s),alele (nkwaboa bi mu nkyekyɛmu ahodoɔ anaa emu bi)
4,Allergic,akyirideɛ
4,allergic reactions,akyirideɛ nsunsuansɔ
4,Allergy,akyirideɛ
4,alter (ed),sesa/asesadeɛ
4,altered gene,nkwaboa a wɔasesa mu
4,alternation of generation,awoɔ ntoatoasoɔ nsesaeɛ
4,Alveolus,alviolɔso/tokuro (nipadua mu tokuro kumaa bi/kotoku ketewa bi a ɛwɔ ahurtutu mu)
4,Ameba,amiba/aboawa
5,amoeboid movement,aboawa a ne nanteɛ ma no tumi sɛ amiba
5,amino acid (s),nnuanennuro
5,amino group,nnuanenuro akuo
5,Ammonia,amonia/awɔhwenem (aduro bi a ɛtumi yɛ nsuo anaasɛ mframane pampan wowɔ hwenem/ano yɛ den)
5,Amniocentesis,nyinsɛn ho nsuotwɛ (nyinsɛn ho nsu a wɔtwe de yɛ nhwenhwɛmu)
5,Amnion,bɔtɔ bi a ɛda mogyatoa ho pɛɛ
5,amniotic fluid,nyinsɛn ho nsuo
5,Amount,dodoɔ
5,Amphibian,amfibian/apɔtorɔ abusua (Aboa a otumi tena nsu mu ne asase so)
5,Amylase,mmoawa a wɔdi dwuma wɔ setaakye mu (mmoawa a wɔdan setaakye yɛ no asikire)
5,Anabolism,kwan pa nipadua no fa so sesa aduane yɛ no ahoɔden
5,Anaerobe,aboa a ɔnhia ɔsegyen anaa mframa na ɔde anya nkwa
5,Anaerobic,deɛ ɔnhia ɔsegyen anaa mframa na ɔde anya nkwa
5,Analgesic,yaw aduro
5,analogous structure,nhyehyɛɛɛ a ɛsɛ
5,Anaphase,anafese (nkwaboa mu nkyekyɛmu berɛ a ɔfa bi twe kɔ ɔfa foforɔ bi ho)
5,Anatomy,nipadua mu nhwehwɛmu
5,Androgen,annrogyen (nkwaboa a ɛpagya barima akɔnnɔ)
5,Anemia,aneemia (mogyasɛɛ/mogya so atew)
5,angina pectoris,ɛbo twetweɛ yareɛ
5,Animal,aboa
5,Ant,ntetea
5,antenna (e),mfemfem
5,Anterior,animu
5,Anther,mmɔmuma
5,antibiotic (s),aduro a ɛkum yaremmoa
5,Antibodies,nipadua akwaa ahodoo a eko tia nyarewa
5,Antibody,nipadua akwaa a eko tia nyarewa
5,Anticodon,antikodon (protein mu mpaapaemu ho nkwaboa bi a ɔkyerɛ nnuanennuro dwumadie wɔ mpaapaemu no mu)
5,Antigen,antigyen (nipadua mu hɔhɔɔ)
5,Antihistamine,antitistamen (aduro a yɛde sa akyiwadeɛ)
5,Antiseptics,antisɛpteke (mmoawa ano aduro)
5,Antitoxin,antitɔsen (nipadua aduro a ɔde si awuduro ano)
5,Anus,turumu
5,Aorta,ntini
5,aortic arch,ntini a ɛnam mogyatoa ho no fa bi
5,aphotic zone,ɛpo bunu mu a awia nka hɔ papa
5,Appearance,opue/ɛda adi/epue
5,Appendage,mfamho
5,Appendicitis,apɛnnese hono
5,Appendix,apɛnnese
5,Apply,fa yɛ/fa di dwuma
5,Appropriate,mudie
5,Approval,ɔpeneeɛ
5,Aquaculture,nsunam yɛn
6,Aquarium,nsutadeɛ a ɛsi fie
6,Aquatic,Nsudeɛ
6,Arid,Akwawee
6,Arid,nsu ho yɛ na
6,Arrow,Pea
6,Arteriole,Ntini fa bi
6,Artery,Ntini (deɛ ɛde mogya firi akoma mu brɛ nipadua no)
6,Arthritis,Apɔsoyea
6,artificial selection,ayɛmmoa ne mfudeɛ mu sa
6,asbestos,nsurogya (adee bi a ɛnhye)
6,ascending colon,nsono akɛseɛ no fa a ɛwɔ soro koraa
6,ascorbic acid,vitamin c (nnuaba ne nhaban mu aduaneduro bi)
6,asexual,kyiri-mpasogorɔ
6,asexual reproduction,awoɔ a ɛnnam mpasogorɔ so
6,asexually,kyiri-mpasogorɔ kwan so (kyi/ɛmpɛ nna)
6,ash,Nso
6,aspen,Asepen
6,aspen,awosodua (amɛrika dua bi a n’ahaban woso pa ara)
6,assembled,ahyehyɛdeɛ
6,assimilation,ɔmene (sɛ obi/nnipa dodow bi gye biribi tom/amammerɛ bi tom
6,associate,fa bata ho (fa wo ho bɔ obi/biribi ho)
6,association neuron,nkwammoa ho abataabata
6,assuming,Resusuo
6,assumption,nsusuie
6,aster,dubena bi
6,asthma,Ntehyeewa
6,astigmatism,Amuamuani (ani so wisiwisi yɛ/nhu ade yiye)
6,atherosclerosis,mogya ntini mu sradeɛ
6,athlete's foot,nnansowa ntam kuro
6,atmosphere,beaeɛ tebea (ahummu/wim)
6,atmospheric,beaeɛ tebea (wim tebea)
6,atmospheric temperature,beaeɛ/wim tebea hye a ɛyɛ
6,atom,atɔm
6,atomic mass,atɔm mu duro
6,atomic number,atɔm nɔma
6,ATP (adenosine tri-phosphate),nkwaboa a ɛkora ahoɔden a nipadua no de di nkwammoa ahoɔdɔ ho dwuma (adenosine triphosphate (ATP))
6,atria,akoma soro fam
6,atrium,akoma no mu kwan a ɛgye mogya firi nipadua no mu
6,attach,fa tare ho (fa ka ho)
6,attack,ko tia
6,attempt,pɔne ho/yɛ sɛ (sɔ hwɛ)
6,auditory canal,asomu kwan
6,auditory nerve,asomu ntini
6,auricle,akoma no mu kwan a ɛgye mogya firi nipadua mu no mu baako
6,autoclave,ɔhyɛ susudua
6,automobile,bɔre
6,autonomic nervous system,dwumadie a nnipadua no nhyɛ da nyɛ nsɔ ɛsie
6,autosome,nkwaboa biara a ɛnyɛ nna mu nkwaboa
6,autotroph,adee biara a ɛno ara tumi de nnuanennuro siesie ne ho
7,autotrophic,ahoɔden a adeɛ bi a ɛno ara tumi de nnuanennuro siesie ne ho wɔ
7,autotrophic nutrition,sɛ adeɛ bi de nnuanennuro bɛsiesie ne ho
7,auxin,deɛ ɛma nkwammoa yɛ tentene (nea ɛma afifide ntini ne nhwiren ba)
7,availability,sɛ biribi wɔ hɔ
7,available,wɔ hɔ
7,axis,nkyɛmu
7,axon,nkwammoa akwaa bi a ɛdi dwuma wɔ nkwammoa no nkyɛn baabi koraa
7,bacteria,yareɛ mmoawa
7,bacterial,yareɛ mmoawadeɛ
7,bacterial infections,mmoawa yadeɛ
7,bacterial pneumonia,mmoawa nimonia
7,bacteriophage,aboawa a ɔko tia yareɛ aboawa foforɔ/vaalɔso a ɔkotia yareɛ mmoawa
7,bacterium,yareɛ mmoawa a wɔnni honam fasuo
7,balance,Okyim (ɛyɛ pɛ)
7,balanced diet,aduane a nnuanennuro ahodoɔ wɔ mu sɛnea ɛsɛ.
7,ball and socket joint,apɔ ne apɔ so nnompe ntokuro
7,bare,Wateraa (ɛho da hɔ pefee/kwatrekwa)
7,bark,bena
7,barnacle,nsunam a ɔwɔ tonturaa
7,basal metabolic rate,sɛdeɛ aboa bi pu ɔhyew berɛ a ɔregye n'ahome
7,base,aseɛ
7,base-pairing,aseɛ nhyehyɛee
7,bass,nsunam a yɛwe
7,beak,anomaa ano
7,bear,osisire
7,beaver,aboa bi a ne dua ne ne se yɛ tɛtretɛ.
7,beetle,asorɔmmɔdwe/amankuo
7,behavior,Suban
7,behavioral,subandeɛ
7,benedict’s solution,Benedict aduro
7,benthos,Nsu ase mmoa
7,beriberi,kakawerewere
7,bias,nkotia/asofa/animhwɛ
7,bicarbonate,nkyene a kaabɔn asede wom
7,biceps,Anantuo
7,bicuspid valve,valve a ɛkura osiakwan mmienu
7,bilateral symmetry,nkyɛmupɛ mmienu
7,bile,bɔdwoma
7,bile duct,bɔdwoma bɔtɔ/kwan
7,bile pigment,ahosuo a ɛnam bɔdwoma so
7,binary fission,nkwammoa mu nkyɛmu mmienu
7,binomial nomenclature,nkwadeɛ dintoɔ
7,biochemical processes,nkwadeɛ mu nnuroyɛ akwan
7,biochemistry,nkwadeɛ mu nnuroyɛ adesua
7,biodegradable,adeɛ a mmoawa tumi sɛe no
8,biodiversity,nkwadeɛ mu sonobi-sonobi
8,biogenesis,nkwadeɛ a yenya firi abɔdeɛ foforɔ mu
8,biogeochemical cycle,nnuanennuro nnanemu wɔ atenaeɛ ne abɔdeɛ ntam
8,biological catalysis,akwaa bi a ɛboa ma dwumadie kɔ so ntɛm wɔ nkwammoa mu
8,biological control,sɛ wode abɔdeɛ bi bɛsi abɔdeɛ foforɔ kwan nkwammoa
8,biological magnification,mmoa anaa nnuane ahodoɔ rekɔ nsuo mu ama nsunam adi ama nnipa nso abɛdi nsunam
8,biology,nkwadeɛ anaa abɔdeɛ a nkwa wom ho adesua
8,biomass,nkwadeɛ dodoɔ a ɛwɔ beaeɛ bi
8,biome,atenaeɛ a yegyina nkwadeɛ a ɛwɔ hɔ so kyerɛ mu
8,bioremediation,wode nkwadeɛ bi rekotia asase mu mmoa anaasɛ awuduro bi
8,biosphere,asase ani fa a nkwadeɛ wɔ
8,biotechnological,deɛ ɛfa nkwadeɛ akwaa binom dwumadie wɔ nhwehwɛmu kwan so
8,biotechnology,nkwadeɛ akwaa binom dwumadie wɔ nhwehwɛmu kwan so
8,biotic,deɛ ɛfa nkwadeɛ ho
8,biotic factor,deɛ efiri nkwadeɛ bi
8,birch,koterɛ amforo dua
8,birth canal,awoɔ kwan
8,birth control,awoɔ anosie
8,birth rate,awododoɔ
8,biuret test,sɔhwɛ a wode aduro a wode kyerɛ sɛ dwonsɔ biribi mu di dwuma
8,bladder,dwonsɔtwaa
8,blade,Yiwan
8,blastula,mogyatoa wɔ mfiaseɛ koraa
8,blending inheritance,abɔseɛ a ɛfiri afa mmienu nkabom mu
8,blind spot,deɛ obi abu n’ani agu so
8,blinking,anibɔ
8,block,akwansie
8,blood,Mogya
8,blood cavity,mogya tokuro
8,blood circulation,mogya foro sane
8,blood clotting,mogyada
8,blood group,mogya mu kuo
8,blood plasma,Mogya mu nsuo
8,blood platelet,mogya mu nkwammoa ntraantra a ɔma mogya da
8,blood pressure,mogya anoɔden
8,blood smear,mogyaa wode agu ahwehwɛ so reyɛ nhwehwɛmu
8,blood sugar,asikyire dodoɔ a ɛwɔ mmogya mu
8,blood transfusion,mogyagyee (mogya a wode ma)
8,blood vessel,mogya ntini
8,boil,mpɔmpɔ
8,bond,ɔfam/twaka
8,bone,dompe
8,bone marrow,dompe mu ekyim/ɛkɔ/hon
8,booklet,nwomawa
8,botany,nnua ne nhweren afuo
8,Bowman’s capsule,Bowman bɔtɔ a ɛkora obi saabo fa bi
8,brain,Adwene/amemene
9,brain stem,adwenem nhini
9,bread mold,paano huraeɛ/fum
9,breathing,ahomeɛ
9,breeding,awoɔ
9,briefly,tiawa mu
