page,eng,twi
3,action,adeyɛ
3,active voice,adeyɛ kasa
3,according to the information,sɛnea asɛm no kyerɛ
3,adjective,asɛmfua a wɔde ka ade ho asɛm
3,alliteration,nkyerɛwde koro a epuepue asɛm mu
3,allusion,nea wɔnka no tee
3,alternate claim,nsɛdi asɛm
3,analogy,ntotoho
3,analyze,nsusuwii
3,anecdote,asɛm muabɔ
3,another,ofoforo
3,answer,mmuae
3,argument,adansɛm
3,Article,Nsɛm a wɔakyerɛw
3,arrange,hyehyɛ
3,audience,atiefo
3,Author,Nhoma kyerɛwfo
3,author's purpose,ɔkyerɛwfo atirimpɔw
3,because,esiane sɛ
3,Before,Ansa na
3,beginning,mfiase
3,bibliography,mmeae a nsɛm no fi
3,biography,obi ho nsɛm
3,Both,N'abien nyinaa
3,capitalization,nkyerɛwde a wɔyɛ no kɛse
3,cause,nea ɛde ba
3,cause/effect,nea ɛde ba/nea efi mu ba
3,chapter,ti
3,character,nkyerɛwde
3,characteristics,su
3,chart,nhyehyɛe pon
3,check,nhwehwɛmu
3,choose,paw
3,circle,kɔntɔnkrɔn
3,citation,asɛm fibea
3,cite,asɛm fibea a wɔkyerɛ
3,claim,nea wɔka
3,classification,nhyehyɛe a wɔyɛ
3,clause,kasasin fa
3,collaborative discussion,kuw nyinaa nkɔmmɔ
3,"comma (,)","nsanhɔ (,)"
3,compare,fa toto
3,compare and contrast (in writing),nsɛdi ne nsonsonoe (nkyerɛwee mu)
3,complex sentence,kasasin a ekura afa horow
3,compound sentence,kasasin a wotumi kyem
4,compound-complex sentence,kasasin a ekura fa horow na wotumi kyem nso
4,concluding statement/section,asɛm/fa a etwa to
4,concrete detail,nkyerɛkyerɛmu a emu dɔ
4,conflict,mbogu asɛm
4,contrast,kyerɛ nsonsonoe
4,connotation,nea ɛkyerɛ
4,context,nea ɛfa ho
4,conventions,Mmara a ɛnnyɛ nhyɛ
4,credible source,fibea a wotumi de ho to so
4,definition,nea ɛkyerɛ
4,demonstrate,ɔyɛkyerɛ
4,describe,ka ho asɛm
4,description,ɛho nkyerɛkyerɛmu
4,detail,nkyerɛkyerɛmu
4,dialogue,anobaebae
4,dictionary,nsɛmfua asekyerɛ nhoma
4,digital source,fibea a ɛfa abɛɛfo ho
4,directions,kwankyerɛ ahorow
4,distinguish,kyerɛ nsonsonoe
4,drama,drama
4,draw conclusions,si gyinae ahorow
4,edit,yɛ nsakrae
4,elaborate,kyerɛkyerɛmu
4,end,awiei
4,the end,wɔ awiei
4,enough,oye
4,essay,asɛm a wɔakyerɛw
4,events,nea asisi
4,event sequence,sɛnea nsɛm sisii
4,everyday speech,da biara da kasa
4,evidence,adanse
4,explain,kyerɛkyerɛ mu
4,explicit,pefee
4,fable,anansesɛm
4,fact,nokwasɛm
4,false,atosɛm
4,fantasy story,anansesɛm
4,fiction,anansesɛm
4,figurative language,kasakoa
4,figure of speech,kasakoa
4,find the main idea,hwehwɛ emu asɛntitiriw
4,folktale,anansesɛm
4,format,kwan a wɔkyerɛ
4,furthermore,bio nso
5,genre,asɛmkuw
5,glossary,nsɛmfua a wɔahyehyɛ
5,go on,toa so
5,happen,si
5,heading,asɛmti
5,help,boa
5,help,mmoa
5,historical novel/account,abakɔsɛm
5,how,kwan bɛn so
5,however,nanso
5,identify,hyɛ nsow
5,if ... then,sɛ ... ɛnde
5,illustrate,fa mfatoho kyerɛkyerɛ
5,inference,nsusuwho
5,informative/explanatory text,asɛm a ɛde nkyerɛkyerɛmu ma
5,initially,kan no
5,inquiry,nhwehwɛmu
5,interpret,kyerɛ ase
5,introduction,nnianim nsɛm
5,irony,nsɛm abien a anka enni hwee yɛ nanso esi bom
5,issue,asɛm
5,judgment,atemmu
5,journal,nsɛmma nhoma
5,justify,kyerɛ nea enti
5,key event,adetiriw a esii
5,key detail/idea,nkyerɛkyerɛmu/asɛm titiriw
5,know,hu
5,knowledge,nimdeɛ
5,list,kyerɛw nnidisonnido
5,literary nonfiction,asɛnkyerɛw a ɛyɛ nokwasɛm
5,literary text,asɛm a wɔakyerɛw
5,listen,tie
5,listening,retie
5,long time ago,bere tenten
5,main,titiriw
5,main character,nnipa titiriw
5,main idea,asɛntitiriw
5,main purpose,atirimpɔw titiriw
6,make believe,yɛ sɛnea
6,memoir,nea wɔakyerɛw afa asɛmti bi ho
6,mood,atenka
6,most important,nea ehia sɛn biara
6,most likely,nea ebetumi abam sɛn biara
6,motive,adwene a ɛta akyi
6,multimedia,amaneɛbɔ wɔ kwan ahorow so
6,myth,anansesɛm
6,narrated experience/event,osuahu a wɔkakyerɛ
6,narrative,nkyerɛkyerɛmu
6,narrator,nea ɔrekakyerɛ
6,nonfiction,nokwasɛm
6,noun,"din a wɔde ato obi, biribi anaa ade"
6,objective summary,asɛm muabɔ
6,obstacle,akwanside
6,often,mpɛn pii
6,on the other hand,n'abirabɔ mu no
6,opinion,nsusuwii/adwenkyerɛ
6,opposing claim,abirabɔ asɛm a wɔka
6,otherwise,ɛnte saa a
6,outcome,nea efi mu ba
6,outline,nsɛntiaa
6,paragraph,kasasin kuw
6,paraphrase,kwan foforo so
6,parentheses ( ... ),nsɛm adaka agyiraehyɛde ( ... )
6,passage,nkyerɛwee fa bi
6,person,onipa
6,phrase,kasasin
6,plagiarism,obi asɛm a wɔfa ka no sɛ w'ankasa de
6,plan,nhyehyɛe
6,plot,nhyehyɛeyɛ
6,poem/poetry,anwensɛm
6,point of view/perspective,nsusuwii/adwenkyerɛ
6,preceding,edi anim
6,predict,ka sie
6,print source,asɛm fibea a wɔatintim
6,probably,ebetumi
6,problem,ɔhaw
6,publish,bɔ dawuru
6,pun,nsɛmfua a wɔde di dwuma agoru kwan so
6,punctuation,nkyerɛwee mu agyiraehyɛde
6,purpose,atirimpɔw
7,question,asɛmmisa
7,quotation,asɛm a woafa afi baabi
7,read,kenkan
7,reader,ɔkenkanfo
7,read aloud,kenkan den
7,reading,akenkan
7,ready,krado
7,real,ankasa
7,reason,nea enti
7,reflection,ɛkyerɛ
7,research,nhwehwɛmu
7,resolution,tirimbɔ
7,respond,bua
7,response,mmuae
7,rhyme,nsɛm a emu nnyigyei sesɛ
7,revise,nsakraeyɛ
7,role,dwumadi
7,scene,nea wɔhwɛ
7,sensory language,nkyerɛwee a ɛma ɔkenkanfo tumi twa mfonin
7,sentence,ɔkasamu
7,sequence,sɛnea edidi so
7,setting,tebea
7,show,kyerɛ
7,significance,titiriw kodu he
7,soliloquy,kasa a woka kyerɛ wo ho
7,solution,asɛm mmuae
7,sonnet,anwensɛm a nnyigyei a ɛsesɛ wom
7,source,fibea
7,stanza,anwensɛm fa biako
7,statement,asɛm
7,story,nsɛm a esii a woka/wokyerɛw
7,summary,muabɔ
7,support,mmoa
7,technology,abɛɛfo mfiridwuma
7,tell,ka
7,text,nea wɔakyerɛw
7,textual evidence,adanse a wɔakyerɛw
7,then,afei
7,therefore,enti
7,theme/central idea,asɛmti/adwenpɔ titiriw
7,thesaurus,nhoma a wɔahyehyɛ nsɛmfua a asekyerɛ yɛ biako wom
7,through,denam
7,title,asɛmti
8,tone,nne nnyigyei
8,tone,su
8,topic,asɛmti
8,traditional stories,anansesɛm
8,transition,nsakrae kɔ foforo so
8,transition,mu
8,true,nokware
8,turn,dan
8,underline,twa ase
8,understanding,ntease
8,unfortunately,awerɛhowsɛm ne sɛ
8,unless,gye sɛ
8,up to now,de besi nnɛ
8,use,fa di dwuma
8,use evidence,fa adanse di dwuma
8,watch out,yɛ ahwɛyiye
