page,eng,twi
3,absolute alcohol,mmosa a wɔmfraa mu
3,absolute temperature scale,ɔhyew/onwini ankasa mpɛnpɛnso susude
3,absolute zero,hwee ankasa
3,absorbency,adetwe tumi
3,absorption,adetwe
3,absorption coefficient,adetwe koɛfihyienti
3,absorption plant,adetwe afifide
3,absorption tube,adetwe durubɛn
3,accelerated filtration,ntɛmso adesɔn
3,acceleration agent,ntɛmso nkanyande
3,accelerator,aduru a ɛma dwumadi kɔ ntɛm so
3,accelerometer,mmirika susude
3,acceptor,aduru a egye ilɛktrɔn
3,accuracy,mudi
3,acetaldehyde,aldihaid nsu
3,acetone,asitoni
3,acetylene,adesɔ mframa
3,acetylene series,adesɔ mframa ahorow
3,acid,asede
3,acidic,nea asede wom
3,acid anhydride,asede anidraidi
3,acid-base indicator,asede ne nea ɛnyɛ asede susude
3,acid-base neutralization,asede ne nea ɛnyɛ asede nsesam
3,acid-base titration,asede ne nea ɛnyɛ asede nsɔhwɛ
3,acid radical,asede radikal
3,acid rain,soro nsu a asede wom
3,acid salt,asede nkyene
3,acid treating,asedeyi
3,acidic titrant,nhwehwɛmu nsu a asede wom
3,acidification,asede a wɔde ka ho
3,acidimeter,asede susufiri
3,acidometer,asede susufiri
3,acidity,asede dodow
3,action,adeyɛ
3,actinide series,aktinaidi ahorow
3,actinium,aktiniɔm
3,activated complex,abɔde mu adewa ahorow a wɔakanyan
3,activated support,mmoa a wɔakanyan
3,activated water,nsu a wɔakanyan
3,activation,nkanyan
3,activation energy,nkanyan tumi
3,activator,nkanyande
3,active centers,mmeae a akanyan
3,activity,dwumadi
3,activity series,dwumadi ahorow
3,addition agent,nkabom nkanyande
3,addition polymer,nkabom pɔlima
4,adhesive,Nkabomde/nea wode tare ade
4,adiabatic calorimeter,adiabatik ohyew dodow susufiri
4,adiabatic flame temperature,adiabatik ogya hyew
4,adsorb,twe nsu ne mframa
4,adsorbent,nea etumi twe nsu ne mframa
4,adsorption,nsu ne mframa twe
4,adsorption isobar,nsu ne mframa twe susuhama ma wim
4,adsorption isotherm,nsu ne mframa twe susuhama ma ohyew
4,agent,nkanyande
4,air pressure,mframa tumi
4,alcohol,mmosa
4,aldehyde,aldihaidi
4,alicyclic hydrocarbons,alisaikliki haidrokabonsi
4,aliphatic hydrocarbons,alufatik haidrokabonsi
4,alkalescency,alkalaniye
4,alkali,alkalai nkyene
4,alkali metal,alkalai dade
4,alkane,haidrokabon a ekura CnH(2n+2) seso
4,alkane derivative,nea wonya fi alkene mu
4,alkaline,alkalaini
4,alkaline earth metals,alkalaini asase mu nnade
4,alkene,alkini
4,alkyl group,alkili kuw
4,alkyne,adeso mframa
4,allotrope,abode mu adewa a eye soronko
4,allotropy,adewa a ekura yebea ahorow
4,alloy,nnade ahorow nkabom
4,alpha emission,alfa mframayi
4,alpha particle,alfa adewa
4,alternating current,anyinam akoneaba
4,alum,alom
4,alumina,alumina
4,aluminate,alumina ne dade foforo nkabom
4,aluminum,aluminom
4,amalgam,nkabom
4,amino acid,amino asede
4,ammonia,amonia
4,ammonia liquor,amonia nsu
4,ammonification,amonia a woma ebam
4,ammonium,amoniom
4,ampere meter,anyinam susufiri
4,amphiprotic,te se asede na ete se besi nso
4,amphoteric,te se asede na ete se besi nso
4,amphoterism,te a ade te se asede ne besi nyinaa
4,analysis,nhwehwemu
4,analytical balance,nhwehwemu nnuru susufiri
4,analytical chemistry,abode yebea ho nhomasua ho nhwehwemu
4,analytical reagent,nhwehwemu aduru
5,angle,angil
5,angstrom,angstrɔm susude
5,anhydride,anidraidi
5,anhydrous,nni nsu
5,anion,iɔn negetif
5,anode,anyinam hama pɔsitif
5,antacid,nea edi asede so
5,antienzyme,nea edi mmubude so
5,antichlor,nea edi klɔ so
5,antifebrin,nea etia mogyatowde
5,antifoaming agent,nea edi ahuruwde so
