twi,eng
Me ho yɛ me ya,I have body pain
Me ho tutu me,I have body ache
Me sasabɔɔ aba/M'ahotutuo aba,I have rheumatism/Sickle cell disease
Me nan yɛ me ya,My leg is aching
Me nan ahono,My leg is swollen
Abofono,Nausea
Afikyikɔ mu yareɛ,Menstrual disorder
Afeɛfeɛ,Feverishness
Agyemmirekutu,Mumps
Ahɔnɔn,"Rickets, Bow-legged"
Ahaamu nsaa,Perineal rash
Ahoɔhene,"Irritation, itching"
Ahoɔhyeɛ,"High temperature, Fever"
Ahotutuo,Body pains/ Sickle Cell Disease/Rheumatism
Ahonhono,General Body swelling/ Anasarca
Ahwenepɔn,Bleeding from the nose /Epistaxis
Akoma mu tokuro,Hole in heart
Akomayareɛ,Heart disease
Akyakya,Hunch back
Akyiyareɛ,Backache/Back Disorders
Amuntum,Sleep paralysis
Ananse,shingles
Ananse akye me,Tingling sensation / Paraesthesia
Ananta,Knock knees
Ani a ɛporo nsuo,Watering / Tearing eye
Ani a ɛso yɛ wisiwisi/ Wantanworann,Blurred vision
Ani a ɛtwa nkyene,Eye discharge
Ani a ɛso yɛ tumm,Dizziness/ Blurred vision
Anidane,Menstrual pain
Anifira,Blindness
Anikyew,Squint
Anisobirie,Dizziness/ Vertigo
Anumkankan,Foul Breath/ Halitosis
Anumkuro,Sore in the mouth
Apɔn,Miscarriage
Aporɔporɔ,Foot rot
Asabra,Diarrhoea in a newborn
Asensen,Tetanus / Tonic Seizure
Asikyireyarɛ,Diabetes
Asofitie,Ear discharge
Asoroben,Migraine
Asosiyɛ,Deafness
Asram,New born illness
Asram Ntoosi,Impetifo
Asram Punin,Hydrocephalus
Asram Brɔdedwo,Marasmus
Atiridii,Malaria
Atiridinini,Typhoid/ Severe Malaria
Ayamhyehyeɛ,Panic/Anxiety
Ayamtim,Constipation
Ayamtuo,Diarrhoea/ Running Stomach
Ayamtuo brɛfoɔ,Cholera
Yafunukeka,Abdominal pain
Babasoweremfoɔ,AIDS/HIV
Mogyasoteɛ /Mogyaweɛ,Anaemia
Ntehyeewa,Asthma
M'abatiri ahwan/ afrikyiri,My shoulder is dislocated/ twisted.
M'abatiri yɛ me ya,I have shoulder pain.
Me yam tutu me,I have abdominal pain
Me yam yɛ me ya,I have Abdominal Pain
Me yam bobɔ mu /woro so,Borborygmi
Me yam keka me,I have abdominal pain
Me yafunu ka me dwee,I have colicky abdominal pain
Me yam wowɔ me,I have prickly abdominal pain
Me yafunu ahyɛ kosoo,I feel some heaviness in my abdomen
Me yafunu ahyɛ,I feel bloated
Me ho yɛ me ya,I have body pain.
Me ho tutu me,I have body ache.
Me sasaborɔ aba / M'ahotutuo aba,I have rheumatism / Sickle cell disease.
M'ani yɛ me ya,I have an eye problem/eye pain.
M'ani so keka me/ yɛ me hene,My eyes itch.
M'ani reporo nsuo,My eyes are tearing.
M'ani twa nkyene,I have discharge from my eyes.
M'ani so yɛ me kusuu,I have blurred vision.
M'ani so biri me/kyini me,I feel dizzy.
M'ani so ayɛ me bisibisi,My vision is blurred.
Biribi atɔ m'ani so,Foreign body in the eye.
Sɛ mehwɛ adeɛ a menhunu no yie,I cannot see clearly.
Menhunu adeɛ mmienu mmienu,Double vision / Diplopia.
Adeɛ wɔ akyiri a menhunu,I cannot see far.
Adeɛ bɛn me a menhunu,I cannot see objects close to me.
Kooko ayɛ m'ani,I have an eye problem.
Dehyɛɛ asi m'ani so,I have stye / chalazion.
M'ani so yɛ me wantann,I have blurred vision.
M'aso yɛ me ya,I have ear ache.
M'aso fiti,My ear discharges.
M'aso mu keka me,My ear is itching/ itchy.
M'aso mu yɛ me kyee,Noise in the ear / Tinnitus.
Biribi akɔhyɛ m'aso mu,Foreign body in my ear.
M'aso mu yɛ me hene,My ears itches.
Me yam wowɔ me,I have prickly abdominal pain.
Me yafunu ahyɛ kosoo,I feel some heaviness in my abdomen.
Me yafunu ahyɛ,I feel bloated.
Me yam samforosamforo me,I have abdominal discomfort.
Me yam hwie,I have diarrhoea.
Megya me nan ntɛmntɛm,I have diarrhoea.
Biribi nenam me yam,Something is moving in my abdomen.
Me yam bɔn,My stool / flatus is offensive.
Meyi mframa a ɛbɔn,My flatus is offensive.
Meta a ɛbɔn,My flatus is offensive.
